Time	Pred_PWRES	PWRES	Pred_IWRES_Mode	IWRES_Mode	Pred_NPDE	NPDE	
0.5	14.118	-0.011359	14.93	-0.13175	14.118	0.23497
1	11.099	0.085787	10.097	0.68597	11.099	0.25545
4	3.2689	-1.4339	1.3599	-0.50538	3.2689	-1.6255
12	0.94664	-0.96211	0.34282	0.058024	0.94664	-1.0718
24	0.4496	-1.6616	0.15835	-1.6333	0.4496	-2.187
0.5	22.27	0.43808	24.619	0.51498	22.27	0.6102
1	16.429	0.24763	18.054	-0.3869	16.429	0.31498
4	4.0985	0.21858	4.5119	0.31611	4.0985	0.3729
12	1.7052	0.026177	2.0656	-0.35423	1.7052	0.23212
24	0.96422	0.62868	1.285	0.71613	0.96422	0.7406
0.5	18.314	3.8371	41.125	1.2072	18.314	2.3649
1	14.509	1.5467	23.864	-0.58832	14.509	1.5433
4	4.6962	0.50638	5.4989	0.10039	4.6962	0.59225
12	1.7678	2.1493	3.9785	0.34649	1.7678	1.9191
24	1.0056	2.4666	2.6911	0.41876	1.0056	1.866
0.5	18.722	0.54386	22.416	0.36339	18.722	0.72195
1	14.731	0.72173	17.71	0.10867	14.731	0.86037
4	4.6409	0.34834	4.8941	0.42375	4.6409	0.48691
12	1.7596	-0.99314	1.108	-0.96199	1.7596	-1.0701
24	1.0007	-0.15601	0.71505	0.51397	1.0007	0.027899
0.5	13.692	-0.78868	12.346	-1.488	13.692	-0.89061
1	10.867	0.45916	10.652	1.2031	10.867	0.56223
4	3.3358	1.2902	4.9786	0.31114	3.3358	1.2967
12	0.95824	1.052	1.8037	0.37346	0.95824	1.0752
24	0.45453	1.001	0.9396	0.34232	0.45453	1.0826
0.5	17.032	0.51306	23.055	-0.4377	17.032	0.65933
1	13.777	1.3965	20.001	0.1877	13.777	1.2763
4	4.8545	4.0055	10.543	1.2638	4.8545	2.92
12	1.797	4.1682	5.7796	0.68811	1.797	2.6909
24	1.0222	3.8149	3.8559	0.39967	1.0222	2.5411
0.5	15.324	0.6373	17.417	0.79259	15.324	0.7348
1	11.715	-0.60204	9.4583	-0.28556	11.715	-0.54073
4	3.0652	-1.8301	0.48698	-0.48675	3.0652	-2.4008
12	0.91883	-2.081	0.18298	-2.39	0.91883	-3.3372
24	0.43707	-1.4737	0.10038	-1.3376	0.43707	-1.7648
0.5	12.659	-0.88464	9.6221	-1.0002	12.659	-0.93177
1	10.271	-0.22515	8.1233	0.85699	10.271	-0.086242
4	3.4837	-0.080057	3.2256	0.044697	3.4837	0.049429
12	0.99124	-0.74221	0.79801	-0.75821	0.99124	-0.77756
24	0.46787	0.29927	0.36575	1.0986	0.46787	0.44932
0.5	19.601	-1.2464	11.261	-0.71126	19.601	-1.5343
1	15.193	-0.97321	8.8276	0.51408	15.193	-1.1065
4	4.5151	-1.077	2.8232	-0.61477	4.5151	-1.2043
12	1.7435	-0.44852	0.90147	1.0633	1.7435	-0.32741
24	0.99071	-1.925	0.31711	-2.5483	0.99071	-3.3077
0.5	14.457	-0.21321	13.674	-0.019805	14.457	-0.022454
1	11.279	0.021548	10.744	0.22671	11.279	0.15354
4	3.2135	0.057373	3.3508	0.033185	3.2135	0.19005
12	0.93811	0.20363	1.1027	0.56091	0.93811	0.48846
24	0.44588	-0.29839	0.48105	-0.26727	0.44588	-0.18282
0.5	15.065	0.76912	17.606	0.76078	15.065	0.80294
1	11.588	0.25139	13.753	-0.74216	11.588	0.40413
4	3.1104	0.91384	4.1763	0.51318	3.1104	0.95676
12	0.92424	0.6862	1.5037	0.0084982	0.92424	0.75468
24	0.43961	0.88546	0.78974	0.46388	0.43961	0.95568
0.5	19.836	0.6258	24.938	0.0010139	19.836	0.72887
1	15.312	0.52329	16.132	0.39889	15.312	0.66518
4	4.4803	-1.0172	3.4397	-1.1826	4.4803	-1.0864
12	1.7395	0.70317	2.0049	1.2263	1.7395	0.76828
24	0.98816	0.080759	1.1725	-0.24503	0.98816	0.33497
0.5	13.014	2.0965	22.342	1.007	13.014	1.7518
1	10.481	1.607	17.859	-0.27323	10.481	1.4978
4	3.4355	1.3044	5.092	0.75577	3.4355	1.3455
12	0.97909	-0.19435	0.91728	0.11433	0.97909	-0.076442
24	0.46305	-0.75519	0.55693	-1.2741	0.46305	-0.78718
0.5	12.871	-0.55781	10.871	-0.15183	12.871	-0.50269
1	11.07	-0.44468	9.7879	-0.1407	11.07	-0.2795
4	5.1218	0.83724	5.8558	0.566	5.1218	0.89021
12	1.9378	1.5638	2.9568	1.1711	1.9378	1.5309
24	1.0929	0.3639	1.7286	-0.53239	1.0929	0.52249
0.5	15.248	-1.4281	7.5567	-0.76593	15.248	-1.8744
1	12.675	-1.3412	6.9474	-0.51284	12.675	-1.645
4	5.0242	0.25801	4.3309	1.4501	5.0242	0.46507
12	1.8481	-0.30836	1.6734	-0.03447	1.8481	-0.15631
24	1.0489	-0.73169	0.77229	-0.45323	1.0489	-0.68161
0.5	16.317	-0.19241	15.232	0.18041	16.317	-0.055765
1	12.172	-0.15	11.664	-0.20392	12.172	-0.066744
4	2.8876	0.18616	3.2939	0.066036	2.8876	0.27315
12	0.90051	0.22213	1.1904	0.0588	0.90051	0.42574
24	0.4281	0.6942	0.5909	0.78992	0.4281	0.85219
0.5	12.745	0.50724	15.788	0.34008	12.745	0.61606
1	10.323	0.52582	11.899	0.3496	10.323	0.60303
