Time	Pred_PWRES	PWRES	Pred_IWRES_Mode	IWRES_Mode	Pred_NPDE	NPDE	
12	18.859	-1.4265	5.4271	0.43241	18.859	-1.7751
24	10.676	-1.2836	2.9025	-1.1511	10.676	-1.7468
0.5	139.45	-0.7188	108.06	-0.54832	139.45	-0.6924
1	118.14	-0.35294	95.238	0.62583	118.14	-0.2438
4	50.991	0.0066463	48.253	0.23463	50.991	0.10818
12	18.942	-0.34834	16.289	0.38482	18.942	-0.18654
24	10.717	-0.58751	8.0856	-0.22414	10.717	-0.5084
0.5	187.22	-0.54265	164.51	-0.89364	187.22	-0.40151
1	147.31	-0.043455	122.29	0.87037	147.31	0.099752
4	46.409	-0.80241	37.707	-0.97209	46.409	-0.82624
12	17.596	0.18665	19.241	0.77405	17.596	0.36681
24	10.007	-0.088093	10.516	0.031354	10.007	0.093386
0.5	142.75	1.6921	252.31	0.19015	142.75	1.5392
1	120.36	2.117	198.69	0.5759	120.36	1.955
4	50.847	1.4135	70.645	0.20686	50.847	1.4262
12	18.818	1.7256	34.518	0.6296	18.818	1.597
24	10.656	1.3299	20.514	-0.18705	10.656	1.2643
0.5	166.27	0.33452	241.29	-1.3231	166.27	0.54394
1	123.05	1.1897	150.61	1.179	123.05	1.2096
4	28.31	-0.87709	22.653	-1.2301	28.31	-0.92299
12	8.9546	0.12797	13.577	-0.95357	8.9546	0.39822
24	4.2551	1.6798	9.8303	1.685	4.2551	1.5238
0.5	129.23	-0.40453	127.57	-1.0498	129.23	-0.24777
1	104.28	0.47882	108.08	1.0621	104.28	0.69668
4	34.481	0.80589	44.84	0.19128	34.481	0.88004
12	9.8211	0.38488	13.594	-0.046982	9.8211	0.56789
24	4.6426	0.58616	7.139	0.36328	4.6426	0.80097
0.5	167.02	1.0556	228.73	0.63596	167.02	1.0923
1	135.8	0.58753	162.61	0.014681	135.8	0.70392
4	48.909	-1.2667	25.578	0.060647	48.909	-1.3124
12	18.055	-1.3651	5.5582	-0.25073	18.055	-1.7228
24	10.268	-1.0168	3.6109	0.11914	10.268	-1.2046
0.5	157.33	-0.63691	127.86	-0.33389	157.33	-0.56613
1	119.09	-0.99755	68.48	0.52694	119.09	-1.0447
4	29.929	-1.8178	3.995	-0.65479	29.929	-2.7524
12	9.1086	-1.166	1.4801	0.75262	9.1086	-1.6757
24	4.3325	-1.1358	0.6185	-0.6885	4.3325	-1.8792
0.5	139.01	-0.95791	96.929	-0.6954	139.01	-1.0875
1	109.82	-0.42881	84.863	0.41259	109.82	-0.29586
4	33.033	0.82802	41.282	0.52808	33.033	0.85327
12	9.5241	0.26607	12.903	-0.10983	9.5241	0.42035
24	4.5207	0.34412	6.1684	0.35213	4.5207	0.52274
0.5	135.9	-0.39739	108.93	0.58826	135.9	-0.25826
1	108.1	-0.91449	83.452	-1.1096	108.1	-0.88588
4	33.513	-0.28252	31.523	-0.36524	33.513	-0.19677
12	9.6118	0.41623	12.158	1.2549	9.6118	0.6145
24	4.5576	-0.51362	3.525	-0.68082	4.5576	-0.31638
0.5	153.8	1.3663	260.84	-0.29717	153.8	1.2295
1	127.6	2.1765	198.16	1.4157	127.6	1.738
4	50.141	0.13623	51.118	0.15504	50.141	0.31334
12	18.439	-0.16981	16.349	0.59032	18.439	-0.05237
24	10.468	-0.55539	8.1669	-0.86021	10.468	-0.42442
0.5	153.24	0.40014	174.95	0.44934	153.24	0.58605
1	117.15	0.1049	120.46	0.0046345	117.15	0.26316
4	30.652	-0.2977	26.042	0.13266	30.652	-0.15297
12	9.1883	-0.015634	9.3321	0.39925	9.1883	0.25656
24	4.3707	-0.47295	3.0761	-0.28284	4.3707	-0.28445
0.5	172.89	-0.038754	164.57	0.40548	172.89	0.13429
1	125.72	-0.76955	101.56	-1.1236	125.72	-0.71143
4	27.099	-0.060837	26.769	0.18108	27.099	0.074174
12	8.8556	0.77207	14.842	0.096941	8.8556	0.86631
24	4.2027	0.60859	6.7369	0.42047	4.2027	0.76973
0.5	135.9	-0.4476	118.41	-0.36961	135.9	-0.30735
1	108.1	0.027705	100.32	0.42427	108.1	0.16497
4	33.513	0.77872	44.475	0.06127	33.513	0.83846
12	9.6118	1.1399	17.444	0.28149	9.6118	1.14
24	4.5576	1.113	8.9585	0.29413	4.5576	1.129
0.5	155.15	-0.97341	96.815	-0.34576	155.15	-1.0436
1	128.46	-0.79931	84.785	0.30921	128.46	-0.82836
4	50.033	-0.39404	39.838	0.40948	50.033	-0.23967
12	18.396	-1.0255	9.2451	0.25583	18.396	-1.1246
24	10.446	-1.1524	3.7953	-0.44038	10.446	-1.4458
0.5	148.15	-0.61697	123.19	-0.47298	148.15	-0.5604
1	114.63	-0.5004	89.148	0.28903	114.63	-0.48408
4	31.533	-0.76828	26.346	-1.2213	31.533	-0.73927
12	9.2973	0.40345	11.826	1.224	9.2973	0.63519
24	4.4212	-0.17158	4.817	-0.22583	4.4212	0.16022
0.5	140.08	-0.23265	135.92	-0.21761	140.08	-0.075477
1	110.4	0.083338	106.46	0.47892	110.4	0.29731
4	32.863	0.16947	35.258	-0.035951	32.863	0.26781
12	9.4952	0.41269	12.646	0.58805	9.4952	0.64067
24	4.5084	-0.13555	4.8649	-0.20162	4.5084	0.13999
0.5	191.5	-0.41434	171.92	-0.56807	191.5	-0.25924
1	149.59	0.020347	128.55	0.7586	149.59	0.24064
4	45.807	-0.56735	38.043	-0.44953	45.807	-0.46694
12	17.515	-0.044106	16.573	0.70006	17.515	0.11412
24	9.9576	-0.43382	7.6961	-0.22733	9.9576	-0.22247
0.5	134.9	0.20734	152.51	0.18892	134.9	0.37662
1	107.54	0.38116	123.52	0.02425	107.54	0.51154
4	33.664	0.57337	40.926	0.24614	33.664	0.62669
12	9.6413	0.032547	11.89	-0.35361	9.6413	0.2409
24	4.5698	0.54776	6.7827	0.61658	4.5698	0.70349
0.5	157.33	0.048262	162.81	-0.00052551	157.33	0.1792
1	119.09	0.3957	125.64	0.317	119.09	0.4643
4	29.929	0.066417	30.536	0.2178	29.929	0.19476
12	9.1086	-0.6201	6.2803	-0.3422	9.1086	-0.48005
24	4.3325	-0.19547	3.5943	0.46439	4.3325	0.09942
0.5	127.83	-0.11596	117.23	0.64326	127.83	0.073411
1	110.07	-0.44139	102.68	-0.83841	110.07	-0.32836
4	51.219	0.40319	54.824	0.219	51.219	0.50027
12	19.416	0.74437	27.326	0.19823	19.416	0.88755
24	10.948	0.89887	16.812	0.34622	10.948	1.0333
0.5	140.08	-0.18925	134.44	-0.080944	140.08	0.013586
1	110.4	0.22096	113.79	0.03591	110.4	0.33437
4	32.863	1.6132	53.57	0.23439	32.863	1.5108
12	9.4952	2.1504	25.656	0.43622	9.4952	1.8063
24	4.5084	2.1429	14.181	0.35304	4.5084	1.671
0.5	171.18	-1.0412	97.854	0.25029	171.18	-1.1461
1	125.06	-1.2906	71.683	-0.87927	125.06	-1.6768
4	27.412	-0.59093	20.477	-0.023175	27.412	-0.50213
12	8.8801	-0.52366	5.6931	0.78525	8.8801	-0.32727
24	4.2158	-1.001	1.1234	-0.73209	4.2158	-1.485
0.5	176.41	0.63152	190.04	1.1495	176.41	0.703
1	127.05	-0.89862	88.546	-0.52311	127.05	-1.001
4	26.452	-1.1699	10.865	0.34824	26.452	-1.3885
12	8.8072	-0.93034	3.7192	-0.43554	8.8072	-1.185
24	4.1762	-0.97743	0.78901	-0.19202	4.1762	-1.6217
0.5	167.87	-1.6114	72.553	-1.1879	167.87	-2.2501
1	123.72	-1.1715	61.685	0.43144	123.72	-1.4306
4	28.017	0.034251	29.342	0.05971	28.017	0.13519
12	8.9295	0.16838	9.6535	1.2046	8.9295	0.40997
24	4.242	-0.75874	2.3987	-1.0832	4.242	-0.84674
0.5	170.32	-0.61062	128.2	0.1219	170.32	-0.54085
1	137.77	-0.68981	106.39	-0.3499	137.77	-0.67556
4	48.545	0.14364	52.091	-0.31196	48.545	0.24682
12	17.97	1.5046	29.552	0.94887	17.97	1.4494
24	10.222	0.91049	16.475	-0.033241	10.222	0.91139
0.5	189.33	0.47251	223.65	0.38571	189.33	0.60413
1	148.45	-0.60142	123.87	-0.63433	148.45	-0.51993
4	46.114	-1.6156	18.468	-0.5126	46.114	-2.0913
12	17.555	-0.64556	12.359	-0.19494	17.555	-0.5024
24	9.9826	-0.22815	8.0073	0.76003	9.9826	-0.03045
0.5	157.33	-1.5438	68.181	-0.98686	157.33	-2.3977
1	119.09	-1.372	62.932	-0.81831	119.09	-1.8173
4	29.929	1.1642	42.371	1.0469	29.929	1.1024
12	9.1086	2.4544	22.525	1.5175	9.1086	1.9816
24	4.3325	1.3793	11.56	-0.60987	4.3325	1.3994
0.5	160.19	1.057	207.17	0.98199	160.19	1.0936
1	120.4	0.77522	153.55	-0.27182	120.4	0.83113
4	29.415	0.12126	29.884	0.50236	29.415	0.27242
12	9.0565	-0.57077	5.7183	0.21551	9.0565	-0.44014
24	4.3068	-0.51662	3.1964	-0.6404	4.3068	-0.3329
0.5	147.43	-0.88044	94.022	0.020094	147.43	-0.92302
1	123.47	-0.92205	85.422	-0.50866	123.47	-0.9863
4	50.588	0.44788	51.956	0.63276	50.588	0.57366
12	18.651	0.5752	24.327	0.1413	18.651	0.69094
24	10.574	0.56373	14.125	0.27525	10.574	0.68934
0.5	165.43	-0.39723	147.16	-0.17717	165.43	-0.1718
1	134.84	-0.41905	111.16	0.09503	134.84	-0.29064
4	49.077	-0.89804	37.891	-0.8517	49.077	-0.91505
12	18.098	0.23639	22.126	0.17624	18.098	0.42648
24	10.291	0.55035	14.284	0.64142	10.291	0.7603
0.5	145.04	-0.54651	147.51	-1.5141	145.04	-0.45635
1	121.9	0.64319	126.98	1.1883	121.9	0.72161
4	50.728	0.63283	55.625	0.55238	50.728	0.80193
12	18.735	-0.62498	15.428	-0.73212	18.735	-0.53502
24	10.615	-0.19626	8.8418	0.55137	10.615	0.0096529
0.5	159.37	-0.84626	113.69	-0.72502	159.37	-0.84831
1	131.12	-0.51281	97.732	0.40981	131.12	-0.4197
4	49.668	0.31437	52.031	0.16365	49.668	0.36106
12	18.268	0.92977	25.195	1.2808	18.268	1.1034
24	10.381	-0.16895	10.893	-0.78007	10.381	0.079859
0.5	142.75	-0.95072	94.978	-0.45733	142.75	-1.0439
1	120.36	-0.68774	83.818	0.45028	120.36	-0.63168
4	50.847	-0.28748	46.302	-0.2803	50.847	-0.23395
12	18.818	0.58648	22.109	0.78533	18.818	0.73454
24	10.656	0.11294	11.658	-0.16947	10.656	0.35564
0.5	172.03	-1.0154	93.353	0.14479	172.03	-1.0783
1	138.77	-1.1984	82.429	-0.77599	138.77	-1.3285
4	48.35	-0.087065	40.641	0.86754	48.35	0.019785
12	17.928	-0.9161	10.268	-0.079813	17.928	-0.93888
24	10.199	-0.90448	4.2976	-0.11577	10.199	-1.0107
0.5	1493.8	-0.53808	1175.6	0.29924	1493.8	-0.34708
1	1152.5	-0.56182	989.68	-0.59836	1152.5	-0.49045
4	313.22	0.69551	400.81	0.39548	313.22	0.75473
12	92.698	0.13553	125.11	-0.37059	92.698	0.34484
24	44.087	0.48462	67.084	0.604	44.087	0.74833
0.5	1511.8	0.99406	2098.5	0.51662	1511.8	1.0668
1	1259.2	1.1106	1804.1	-0.18982	1259.2	1.1673
4	503.38	2.2265	776.51	0.80489	503.38	1.9186
12	185.24	0.057705	197.84	0.11723	185.24	0.21149
24	105.11	0.089671	115.04	-0.050932	105.11	0.31276
0.5	1359	0.065013	1537.1	-0.40717	1359	0.19061
1	1081	0.80108	1233.5	0.77621	1081	0.91953
4	335.13	0.78481	446.48	0.17327	335.13	0.98285
12	96.118	0.92732	166.61	0.55239	96.118	1.056
24	45.576	0.38226	70.974	-0.16395	45.576	0.66637
0.5	1160.6	0.22652	1343.7	-0.15981	1160.6	0.44276
1	1015.4	0.2822	1049.9	0.53335	1015.4	0.42119
4	509.47	-0.96548	378.2	-1.1525	509.47	-1.0511
12	199.49	0.048346	193.67	0.56501	199.49	0.19562
24	112.15	0.011268	112.37	0.14412	112.15	0.1797
0.5	1261	-0.11238	1229.4	0.11836	1261	0.074776
1	1088.5	-0.052941	1081.4	-0.069047	1088.5	0.069886
4	512.13	0.59689	552.37	0.45317	512.13	0.68477
12	194.91	0.0012537	215.14	-0.27246	194.91	0.20542
24	109.85	0.30446	127.57	0.41363	109.85	0.41534
0.5	1872.2	0.038566	1954.9	0.015915	1872.2	0.21586
1	1473.1	0.1521	1490.7	0.18975	1473.1	0.33432
4	464.09	-0.00468	470.77	-0.092397	464.09	0.047574
12	175.96	0.52431	231.83	0.23736	175.96	0.7037
24	100.07	0.51492	137.39	0.25396	100.07	0.67632
0.5	2032.5	1.5823	3292.4	0.237	2032.5	1.4993
1	1555.3	1.8274	2345.7	0.35325	1555.3	1.5583
4	440.63	1.9162	770.72	0.19437	440.63	1.6931
12	173.17	3.5908	480.51	0.71755	173.17	2.4155
24	98.299	2.8946	290.58	0.03276	98.299	2.2203
0.5	1937.3	1.3861	4857.6	-2.7874	1937.3	1.3208
1	1507.5	6.6362	3498.8	2.5884	1507.5	2.9268
4	454.86	0.74589	632.01	-0.39058	454.86	0.79727
12	174.75	7.1368e-05	198.38	-0.38554	174.75	0.20094
24	99.325	0.96234	156.87	0.6381	99.325	1.0733
0.5	1301.4	-0.99234	758.39	0.25534	1301.4	-1.0257
1	1048.1	-1.0364	654.64	-0.45327	1048.1	-1.1731
4	343.55	-0.19621	326.46	-0.40128	343.55	-0.11132
12	97.909	0.52185	132.04	0.7481	97.909	0.69131
24	46.305	0.028207	53.43	-0.043701	46.305	0.28665
0.5	1587.4	-0.11642	1391.5	0.906	1587.4	0.0092195
1	1197.4	-0.81769	951.35	-1.0421	1197.4	-0.89149
4	296.75	-1.1951	124.75	0.24673	296.75	-1.2227
12	90.825	-1.0389	26.132	-0.13226	90.825	-1.4727
24	43.197	-0.85766	13.155	0.17647	43.197	-1.0964
0.5	1305.2	0.7237	1652.2	0.95455	1305.2	0.85747
1	1119.8	0.13265	1397.8	-0.98068	1119.8	0.25542
4	512.07	0.84688	584.8	0.50718	512.07	0.95767
12	193.01	-0.079116	200.66	-0.090265	193.01	0.04346
24	108.92	0.09876	121.58	0.23138	108.92	0.27164
0.5	1329.5	1.118	1887.2	0.83028	1329.5	1.1569
1	1064.3	0.74096	1451.7	-0.42787	1064.3	0.82429
4	339.53	0.51153	398.59	0.3878	339.53	0.56234
12	97.008	0.30684	130.6	0.15155	97.008	0.46496
24	45.942	0.29631	66.592	0.044047	45.942	0.51648
0.5	1524.8	0.42166	1818.2	0.13616	1524.8	0.5966
1	1267.5	0.28696	1417.1	-0.1567	1267.5	0.42756
4	502.42	1.3326	679.06	0.57909	502.42	1.2287
12	184.81	1.6111	307.47	1.1459	184.81	1.5085
24	104.89	-0.2997	99.655	-0.71546	104.89	-0.081594
0.5	1922	0.2804	2044.9	0.25212	1922	0.45878
1	1321.4	-0.17984	1246.9	-0.53032	1321.4	-0.026478
4	236.07	1.9466	502.57	0.65237	236.07	1.6359
12	86.189	1.8465	225.45	0.4533	86.189	1.5567
24	40.685	0.4772	68.474	-0.058467	40.685	0.76332
0.5	1616.6	-1.4086	729.48	-0.28356	1616.6	-1.848
1	1210.6	-1.3346	620.32	-0.053803	1210.6	-1.6081
4	291.49	-0.31187	270.25	-0.16197	291.49	-0.14809
12	90.307	-0.26198	82.505	0.40115	90.307	-0.035728
24	42.94	-0.50386	29.821	0.065934	42.94	-0.29984
0.5	1329.5	0.68351	1954.3	-0.51457	1329.5	0.82234
1	1064.3	1.4362	1356.2	1.5719	1064.3	1.3091
4	339.53	-0.99288	191.81	-0.096042	339.53	-1.0286
12	97.008	-0.95334	40.224	0.29441	97.008	-1.0628
24	45.942	-0.79498	20.843	-0.46532	45.942	-0.8396
0.5	1457.4	-0.057485	1465.3	0.089391	1457.4	0.083846
1	1134	-0.26153	1036.2	-0.091169	1134	-0.14151
4	319.4	-0.60375	253.14	-0.36523	319.4	-0.45038
12	93.53	0.15014	107.93	0.52434	93.53	0.37321
24	44.463	-0.043843	46.45	0.10113	44.463	0.29323
0.5	1593.7	0.27851	1985	-0.55125	1593.7	0.41446
1	1311.2	0.63135	1443.1	0.93769	1311.2	0.71731
4	496.68	-1.1217	304.24	-0.43272	496.68	-1.2141
12	182.68	-0.87551	108.87	-0.034387	182.68	-0.89045
24	103.81	-0.62453	65.697	0.32105	103.81	-0.52447
0.5	1422.9	1.2523	2002.1	0.77822	1422.9	1.2192
1	1115.9	0.486	1291	0.15116	1115.9	0.6705
4	325.09	-0.76877	207.57	0.16901	325.09	-0.75298
12	94.378	-0.54646	70.136	0.19338	94.378	-0.37572
24	44.837	-0.79723	21.805	-0.20992	44.837	-0.81851
0.5	1811.8	-1.2222	1007.7	-0.38926	1811.8	-1.4575
1	1440	-1.1576	882.9	-0.33543	1440	-1.2911
4	472.2	0.10191	437.94	0.72326	472.2	0.17351
12	177.19	-0.60435	160.11	-1.9149	177.19	-0.45095
24	100.81	0.17588	95.338	1.1274	100.81	0.36597
0.5	1820	-0.88714	1147.6	0.28685	1820	-0.8774
1	1290.2	-0.92254	904.51	-0.79108	1290.2	-0.92055
4	254.33	0.21231	310.74	0.2004	254.33	0.36123
12	87.357	0.27086	112.35	0.38585	87.357	0.51545
24	41.362	-0.094814	42.137	0.067142	41.362	0.25714
0.5	1486.5	-1.2937	607.36	0.7014	1486.5	-1.622
1	1242.7	-1.6369	549.47	-1.0757	1242.7	-2.1309
4	505.1	-1.0573	332.77	-0.6505	505.1	-1.1138
12	186.09	-0.29915	158.2	0.3409	186.09	-0.15189
24	105.53	-0.36227	82.083	0.2211	105.53	-0.1524
0.5	1405.3	-0.81781	937.74	-0.10128	1405.3	-0.85496
1	1188.7	-0.76573	848.64	-0.25863	1188.7	-0.76016
4	509.47	0.31449	494.85	0.67975	509.47	0.42009
12	189.01	0.022205	197.69	0.036594	189.01	0.12819
24	106.97	-0.015564	104.68	0.14158	106.97	0.12032
0.5	1481.5	-0.62906	1360.4	-1.0397	1481.5	-0.53163
1	1146.3	0.19358	1044.4	1.2776	1146.3	0.3302
4	315.33	-0.53799	242.21	0.014342	315.33	-0.5068
12	92.973	-0.85474	41.47	0.0686	92.973	-1.0029
24	44.212	-0.67753	20.849	-0.023256	44.212	-0.7664
0.5	1349	-0.39879	1217.9	-0.40213	1349	-0.24389
1	1075.4	0.28897	1032.5	0.95013	1075.4	0.42615
4	336.64	0.57931	400.48	0.28598	336.64	0.67755
12	96.413	-0.46349	68.246	0.58052	96.413	-0.30004
24	45.698	-0.58934	28.628	-0.63454	45.698	-0.40081
0.5	1538	0.38272	1827.1	0.054289	1538	0.55003
1	1276	0.68848	1516.9	0.26969	1276	0.7746
4	501.41	1.3495	647.29	0.32814	501.41	1.3448
12	184.39	1.3096	298.1	0.52229	184.39	1.2301
24	104.68	0.95344	170.78	-0.080096	104.68	1.0391
0.5	1320	-0.95797	812.57	0.068256	1320	-1.0036
1	1058.9	-1.3224	601.82	-0.6973	1058.9	-1.5821
4	340.91	-1.3956	166.69	-0.95952	340.91	-1.5703
12	97.307	-0.76396	55.264	0.84965	97.307	-0.68576
24	46.063	-0.92888	16.772	-0.033692	46.063	-1.0804
0.5	1792.6	-0.59862	1380	-0.14658	1792.6	-0.49609
1	1429.3	-0.32163	1180.5	0.27284	1429.3	-0.19302
4	474.68	0.34414	497.32	0.46201	474.68	0.50004
12	177.6	-0.52989	123.8	0.2474	177.6	-0.38056
24	101.05	-0.58369	61.906	-0.19871	101.05	-0.39586
0.5	1445.7	-0.012905	1433.8	0.37094	1445.7	0.12968
1	1127.9	-0.065341	1129.5	-0.34306	1127.9	0.10397
4	321.35	0.074361	329.42	0.14515	321.35	0.19518
12	93.811	-0.2586	95.129	-0.22126	93.811	-0.051218
24	44.588	0.095759	51.669	0.49034	44.588	0.34556
0.5	1445.7	-0.8597	1051.1	-0.57475	1445.7	-0.82602
1	1127.9	-0.59822	788.35	0.72865	1127.9	-0.52339
4	321.35	-0.80477	212.43	-0.049763	321.35	-0.75892
12	93.811	-0.72869	51.067	0.43788	93.811	-0.65729
24	44.588	-0.97058	10.306	-0.24621	44.588	-1.5385
0.5	1486.5	-0.047205	1748.1	-0.72075	1486.5	0.12902
1	1242.7	0.80995	1542	0.5387	1242.7	0.88936
4	505.1	2.0728	753.41	1.206	505.1	1.7316
12	186.09	-0.10318	188.75	-0.20908	186.09	0.039853
24	105.53	-0.21309	93.235	0.05237	105.53	-0.041787
0.5	2167.4	-0.97979	1302.2	0.30884	2167.4	-1.0699
1	1617.5	-1.0468	1032.3	-0.50047	1617.5	-1.1231
4	419.45	-0.65386	300.95	0.26662	419.45	-0.59581
12	171.26	-1.0178	71.346	0.045167	171.26	-1.089
24	96.969	-0.93812	33.31	0.013006	96.969	-1.1822
0.5	1587.4	2.41	2964.2	0.52202	1587.4	1.8912
1	1197.4	2.1759	1881.4	0.41465	1197.4	1.6693
4	296.75	1.0299	493.07	-0.45351	296.75	1.0158
12	90.825	2.7791	254.45	1.3709	90.825	2.0559
24	43.197	1.0977	106.29	-0.61838	43.197	1.1302
0.5	1474.3	-0.15704	1437	0.043511	1474.3	0.049489
1	1234.7	0.1555	1248	0.31171	1234.7	0.33428
4	505.88	0.60609	566.59	0.42687	505.88	0.76117
12	186.51	-0.42167	144.09	0.39851	186.51	-0.2538
24	105.74	-0.59321	71.808	-0.33207	105.74	-0.45073
0.5	1737.7	-1.4805	894.5	-1.834	1737.7	-1.9705
1	1397.9	-0.94136	784.32	1.1537	1397.9	-0.98506
4	481.45	-0.37286	391.7	0.20706	481.45	-0.27548
12	178.86	-0.48852	129.06	0.6315	178.86	-0.38066
24	101.76	-0.84282	51.691	-0.45788	101.76	-0.76394
0.5	1782.3	-0.69684	1434.4	-0.60668	1782.3	-0.6548
1	1277.1	0.12366	1139	0.72277	1277.1	0.23494
4	261.19	0.57574	350.47	0.2764	261.19	0.65783
12	87.832	-0.0014064	97.386	0.2537	87.832	0.25794
24	41.629	-0.14708	42.885	-0.041559	41.629	0.20645
0.5	1305.2	0.25042	1660.8	-0.71283	1305.2	0.45425
1	1119.8	0.61159	1244	0.99934	1119.8	0.75593
4	512.07	-0.89489	401.19	-1.3774	512.07	-0.94424
12	193.01	0.46123	230.55	0.54424	193.01	0.54927
24	108.92	0.63623	150.69	0.35515	108.92	0.77368
0.5	1333.5	0.53349	1711.5	0.21058	1333.5	0.68985
1	1139.5	1.2563	1524.3	0.86943	1139.5	1.231
4	511.67	1.4624	774.58	-0.36738	511.67	1.395
12	191.83	-0.10907	171.52	0.928	191.83	0.059139
24	108.34	-0.81367	63.643	-0.65624	108.34	-0.81289
0.5	1654.3	-0.21272	1314.5	1.1036	1654.3	-0.046655
1	1348.4	-1.0641	1062.5	-1.6642	1348.4	-1.0863
4	490.77	-0.67086	339.34	0.39464	490.77	-0.62588
12	180.98	-1.142	80.521	0.030346	180.98	-1.1352
24	102.91	-1.0104	38.859	-0.029948	102.91	-1.0958
0.5	1261	-0.54443	980.03	0.19821	1261	-0.4638
1	1088.5	-0.67111	873.61	-0.46983	1088.5	-0.57601
4	512.13	0.2242	500.22	0.45949	512.13	0.34004
12	194.91	0.58153	233.34	0.91614	194.91	0.73638
24	109.85	-0.094415	116.31	-0.49352	109.85	0.12308
0.5	1532.4	-0.28178	1352.1	0.039869	1532.4	-0.19237
1	1171.5	-0.13276	1107.1	-0.278	1171.5	-0.0051452
4	306.52	0.95808	448.37	-0.024055	306.52	1.0306
12	91.883	1.2737	219.92	-0.75407	91.883	1.221
24	43.707	2.9906	142.44	1.2053	43.707	2.1199
0.5	1831.4	0.9707	2636	0.0281	1831.4	0.97273
1	1450.9	1.661	2159.4	0.27865	1450.9	1.4937
4	469.62	2.1957	782.89	0.58538	469.62	1.8657
12	176.78	0.63707	294.82	-1.1493	176.78	0.7816
24	100.56	2.1855	215.19	1.1362	100.56	1.7818
0.5	1519.3	-1.065	954.27	-0.71421	1519.3	-1.1758
1	1165.2	-0.65376	788.18	0.54814	1165.2	-0.63028
4	308.81	-0.11567	330.45	-0.68065	308.81	-0.051794
12	92.153	0.54549	134.15	0.65554	92.153	0.67289
24	43.834	0.24247	58.321	0.11656	43.834	0.53455
0.5	1601.9	1.0704	2405.4	0.07716	1601.9	1.0754
1	1204	1.5037	1759.1	0.48613	1204	1.4363
4	294.15	1.3258	508.82	0.12947	294.15	1.3223
12	90.565	2.1089	250.06	0.55416	90.565	1.8605
24	43.068	1.8294	128.84	0.035423	43.068	1.5759
0.5	1450.4	-1.4185	660.14	-0.57044	1450.4	-1.8176
1	1219	-1.2877	595.34	0.41865	1219	-1.572
4	507.28	-0.96441	342.64	-0.21354	507.28	-0.9782
12	187.35	-0.63288	134.28	0.07562	187.35	-0.5607
24	106.15	-0.66883	63.729	0.18126	106.15	-0.56552
0.5	1966.2	2.3218	3232.1	0.79351	1966.2	1.7837
1	1332.8	0.53708	1569.3	-0.55648	1332.8	0.62954
4	228.37	-0.50441	179.74	0.16657	228.37	-0.40282
12	85.728	0.21456	127.57	-0.90626	85.728	0.41544
24	40.41	1.292	84.778	0.97947	40.41	1.2749
0.5	1506.5	-0.73086	1409.6	-1.5585	1506.5	-0.66773
1	1158.8	0.60547	1185	1.2964	1158.8	0.70937
4	311.04	1.0745	449.4	0.47785	311.04	1.0054
12	92.424	-0.17216	96.647	-0.11177	92.424	0.084277
24	43.961	-0.0011526	49.707	0.19416	43.961	0.37329
0.5	1695.1	-0.6986	1421.6	-0.63379	1695.1	-0.60629
1	1243.9	0.24363	1212.3	0.57928	1243.9	0.40939
4	277.18	1.7711	490.96	0.80974	277.18	1.6288
12	89.047	-0.046807	99.065	0.068255	89.047	0.22648
24	42.289	-0.054876	47.649	-0.028875	42.289	0.16991
0.5	1390.1	-1.35	709.16	-0.59531	1390.1	-1.6399
1	1098.2	-1.4216	580.98	-0.26553	1098.2	-1.6845
4	330.33	-0.97496	187.77	0.25955	330.33	-0.98665
12	95.241	-1.1207	30.005	-1.0991	95.241	-1.5522
24	45.207	-0.83624	13.811	1.0019	45.207	-0.99993
0.5	1720.3	-0.23006	1587.7	0.13388	1720.3	-0.077611
1	1387.7	-0.47831	1152.3	-0.15814	1387.7	-0.40807
4	483.5	-1.2098	258.73	-0.29352	483.5	-1.4182
12	179.28	-0.86406	99.994	-0.050624	179.28	-0.87725
24	101.99	-0.70536	54.498	0.36638	101.99	-0.66167
0.5	1831.4	-0.41883	1623.8	-0.36902	1831.4	-0.30186
1	1450.9	-0.211	1217	0.42837	1450.9	-0.080725
4	469.62	-0.68153	370.49	-0.55635	469.62	-0.64934
12	176.78	0.056368	180.59	0.459	176.78	0.20444
24	100.56	-0.082448	98.461	0.14619	100.56	0.17486
0.5	1703.2	-1.2362	843.36	-0.33007	1703.2	-1.5884
1	1377.7	-1.3106	659.89	0.37687	1377.7	-1.62
4	485.45	-1.7033	163.99	0.10976	485.45	-2.4071
12	179.7	-1.7092	19.921	0.061295	179.7	-2.8725
24	102.22	-1.4155	7.7771	-0.30371	102.22	-3.1001
0.5	1339.2	-0.74699	970.47	-0.19452	1339.2	-0.7459
1	1069.8	-0.53193	819.95	0.1777	1069.8	-0.39733
4	338.11	0.1631	340.29	0.59801	338.11	0.26167
12	96.71	-0.22894	93.666	0.37669	96.71	0.017875
24	45.82	-0.57852	32.215	-0.29022	45.82	-0.38576
0.5	1737.7	-0.35843	1547.5	-0.21534	1737.7	-0.15706
1	1397.9	-0.53887	1069	0.20263	1397.9	-0.46816
4	481.45	-1.4563	230.81	-0.66306	481.45	-1.8518
12	178.86	-0.77004	100.5	0.51101	178.86	-0.77032
24	101.76	-0.85884	46.877	0.034772	101.76	-0.95388
0.5	1469.3	0.51487	1580.4	1.0393	1469.3	0.6273
