Scenario,Strat1,Strat2,Strat3,t,DV,ObsName
,0,0,0,36,16.2669,EObs
,0,0,0,48,11.3857,EObs
,0,0,0,72,19.3201,EObs
,0,0,0,96,18.9967,EObs
,0,0,0,120,22.0964,EObs
,0,0,0,0,99.465,EObs
,0,0,0,24,40.2467,EObs
,0,0,0,36,42.4539,EObs
,0,0,0,48,34.7619,EObs
,0,0,0,72,41.8099,EObs
,0,0,0,96,57.9181,EObs
,0,0,0,120,70.8469,EObs
,0,0,0,0,103.98,EObs
,0,0,0,24,36.3589,EObs
,0,0,0,36,24.5964,EObs
,0,0,0,48,20.9505,EObs
,0,0,0,72,18.0078,EObs
,0,0,0,96,18.9675,EObs
,0,0,0,120,34.5812,EObs
,0,0,0,0,92.94,EObs
,0,0,0,24,33.7157,EObs
,0,0,0,36,18.421,EObs
,0,0,0,48,11.387,EObs
,0,0,0,72,10.2123,EObs
,0,0,0,96,15.1379,EObs
,0,0,0,120,17.1895,EObs
,0,0,0,0,95.305,EObs
,0,0,0,24,37.7999,EObs
,0,0,0,36,23.9684,EObs
,0,0,0,48,23.3145,EObs
,0,0,0,72,14.0141,EObs
,0,0,0,96,15.1296,EObs
,0,0,0,120,22.8934,EObs
,0,0,0,0,97.752,EObs
,0,0,0,24,37.6908,EObs
,0,0,0,36,26.6176,EObs
,0,0,0,48,17.0186,EObs
,0,0,0,72,28.469,EObs
,0,0,0,96,30.635,EObs
,0,0,0,120,37.688,EObs
,0,0,0,0,98.957,EObs
,0,0,0,24,38.0289,EObs
,0,0,0,36,29.3595,EObs
,0,0,0,48,12.5002,EObs
,0,0,0,72,9.85284,EObs
,0,0,0,96,11.8756,EObs
,0,0,0,120,29.0477,EObs
,0,0,0,0,102.92,EObs
,0,0,0,24,46.8051,EObs
,0,0,0,36,37.8347,EObs
,0,0,0,48,24.0734,EObs
,0,0,0,72,24.7233,EObs
,0,0,0,96,22.506,EObs
,0,0,0,120,23.5249,EObs
,0,0,0,1,0.868183,CObs
,0,0,0,2,6.76601,CObs
,0,0,0,3,9.73502,CObs
,0,0,0,6,11.5045,CObs
,0,0,0,9,12.7517,CObs
,0,0,0,12,10.4787,CObs
,0,0,0,24,7.042,CObs
,0,0,0,36,4.5396,CObs
,0,0,0,48,3.84844,CObs
,0,0,0,72,1.39462,CObs
,0,0,0,24,7.00526,CObs
,0,0,0,36,4.44891,CObs
,0,0,0,48,4.47291,CObs
,0,0,0,72,2.39575,CObs
,0,0,0,96,1.1445,CObs
,0,0,0,120,0.620781,CObs
,0,0,0,0.5,0.500733,CObs
,0,0,0,2,3.83714,CObs
,0,0,0,3,5.88076,CObs
,0,0,0,6,9.94223,CObs
,0,0,0,12,9.45694,CObs
,0,0,0,24,8.8806,CObs
,0,0,0,36,6.0008,CObs
,0,0,0,48,6.41548,CObs
,0,0,0,72,5.5196,CObs
,0,0,0,96,3.79314,CObs
,0,0,0,120,2.68993,CObs
,0,0,0,3,6.23064,CObs
,0,0,0,6,9.59384,CObs
,0,0,0,9,11.8301,CObs
,0,0,0,24,11.549,CObs
,0,0,0,36,8.69883,CObs
,0,0,0,48,7.99081,CObs
,0,0,0,72,4.81284,CObs
,0,0,0,96,3.70432,CObs
,0,0,0,120,1.58427,CObs
,0,0,0,3,10.381,CObs
,0,0,0,6,12.1288,CObs
,0,0,0,9,13.227,CObs
,0,0,0,12,13.238,CObs
,0,0,0,24,8.48204,CObs
,0,0,0,36,7.24594,CObs
,0,0,0,48,5.61734,CObs
,0,0,0,72,3.55188,CObs
,0,0,0,96,1.38914,CObs
,0,0,0,120,1.00174,CObs
,0,0,0,6,11.1499,CObs
,0,0,0,12,11.303,CObs
