Scenario,Strat1,Strat2,Strat3,t,DV0,DV,ObsName,QI,QE
,0,0,0,0,87.4922,,EObs,05%,--
,0,0,0,24,26.6918,,EObs,05%,--
,0,0,0,36,13.7464,,EObs,05%,--
,0,0,0,48,11.0033,,EObs,05%,--
,0,0,0,72,8.89448,,EObs,05%,--
,0,0,0,96,9.34584,,EObs,05%,--
,0,0,0,120,10.8986,,EObs,05%,--
,0,0,0,144,20.562,,EObs,05%,--
,0,0,0,0,,75.699,EObs,05%,2.5%
,0,0,0,24,,2.53885,EObs,05%,2.5%
,0,0,0,36,,4.09453,EObs,05%,2.5%
,0,0,0,48,,4.1027,EObs,05%,2.5%
,0,0,0,72,,4.36077,EObs,05%,2.5%
,0,0,0,96,,4.87296,EObs,05%,2.5%
,0,0,0,120,,6.06095,EObs,05%,2.5%
,0,0,0,144,,5.27934,EObs,05%,2.5%
,0,0,0,0,,82.2849,EObs,05%,50%
,0,0,0,24,,9.49678,EObs,05%,50%
,0,0,0,36,,10.2682,EObs,05%,50%
,0,0,0,48,,10.1853,EObs,05%,50%
,0,0,0,72,,11.0826,EObs,05%,50%
,0,0,0,96,,11.9978,EObs,05%,50%
,0,0,0,120,,13.4814,EObs,05%,50%
,0,0,0,144,,16.2117,EObs,05%,50%
,0,0,0,0,,87.7536,EObs,05%,97.5%
,0,0,0,24,,15.091,EObs,05%,97.5%
,0,0,0,36,,15.6248,EObs,05%,97.5%
,0,0,0,48,,15.9207,EObs,05%,97.5%
,0,0,0,72,,16.9968,EObs,05%,97.5%
,0,0,0,96,,17.9688,EObs,05%,97.5%
,0,0,0,120,,19.0619,EObs,05%,97.5%
,0,0,0,144,,25.1857,EObs,05%,97.5%
,0,0,0,0,96.402,,EObs,50%,--
,0,0,0,24,36.7065,,EObs,50%,--
,0,0,0,36,25.163,,EObs,50%,--
,0,0,0,48,20.5195,,EObs,50%,--
,0,0,0,72,20.521,,EObs,50%,--
,0,0,0,96,25.415,,EObs,50%,--
,0,0,0,120,28.634,,EObs,50%,--
,0,0,0,144,42.995,,EObs,50%,--
,0,0,0,0,,92.7186,EObs,50%,2.5%
,0,0,0,24,,20.6569,EObs,50%,2.5%
,0,0,0,36,,21.1641,EObs,50%,2.5%
,0,0,0,48,,21.464,EObs,50%,2.5%
,0,0,0,72,,22.4413,EObs,50%,2.5%
,0,0,0,96,,24.036,EObs,50%,2.5%
,0,0,0,120,,25.4107,EObs,50%,2.5%
,0,0,0,144,,25.124,EObs,50%,2.5%
,0,0,0,0,,96.1364,EObs,50%,50%
,0,0,0,24,,24.1846,EObs,50%,50%
,0,0,0,36,,24.5763,EObs,50%,50%
,0,0,0,48,,24.9647,EObs,50%,50%
,0,0,0,72,,26.0054,EObs,50%,50%
,0,0,0,96,,27.7434,EObs,50%,50%
,0,0,0,120,,29.7717,EObs,50%,50%
,0,0,0,144,,32.5427,EObs,50%,50%
,0,0,0,0,,99.4231,EObs,50%,97.5%
,0,0,0,24,,27.6811,EObs,50%,97.5%
,0,0,0,36,,27.996,EObs,50%,97.5%
,0,0,0,48,,28.7622,EObs,50%,97.5%
,0,0,0,72,,29.7837,EObs,50%,97.5%
,0,0,0,96,,31.8456,EObs,50%,97.5%
,0,0,0,120,,34.4839,EObs,50%,97.5%
,0,0,0,144,,41.8631,EObs,50%,97.5%
,0,0,0,0,106.082,,EObs,95%,--
,0,0,0,24,47.6053,,EObs,95%,--
,0,0,0,36,39.4686,,EObs,95%,--
,0,0,0,48,35.2772,,EObs,95%,--
,0,0,0,72,42.6506,,EObs,95%,--
,0,0,0,96,54.2128,,EObs,95%,--
,0,0,0,120,70.5716,,EObs,95%,--
,0,0,0,144,75.991,,EObs,95%,--
,0,0,0,0,,104.592,EObs,95%,2.5%
,0,0,0,24,,33.509,EObs,95%,2.5%
,0,0,0,36,,33.8731,EObs,95%,2.5%
,0,0,0,48,,34.749,EObs,95%,2.5%
,0,0,0,72,,36.2213,EObs,95%,2.5%
,0,0,0,96,,38.8493,EObs,95%,2.5%
,0,0,0,120,,42.8141,EObs,95%,2.5%
,0,0,0,144,,42.3529,EObs,95%,2.5%
,0,0,0,0,,109.877,EObs,95%,50%
,0,0,0,24,,39.0761,EObs,95%,50%
,0,0,0,36,,39.8044,EObs,95%,50%
,0,0,0,48,,40.6204,EObs,95%,50%
,0,0,0,72,,43.6428,EObs,95%,50%
,0,0,0,96,,47.9866,EObs,95%,50%
,0,0,0,120,,55.0588,EObs,95%,50%
,0,0,0,144,,60.8942,EObs,95%,50%
,0,0,0,0,,117.042,EObs,95%,97.5%
,0,0,0,24,,45.5699,EObs,95%,97.5%
,0,0,0,36,,48.4293,EObs,95%,97.5%
,0,0,0,48,,49.3479,EObs,95%,97.5%
,0,0,0,72,,54.5162,EObs,95%,97.5%
,0,0,0,96,,61.6048,EObs,95%,97.5%
,0,0,0,120,,73.0357,EObs,95%,97.5%
,0,0,0,144,,88.6079,EObs,95%,97.5%
,0,0,0,0.5,0.4558,,CObs,05%,--
,0,0,0,1,0.062565,,CObs,05%,--
,0,0,0,1.5,0.061036,,CObs,05%,--
,0,0,0,2,3.6674,,CObs,05%,--
,0,0,0,3,5.213,,CObs,05%,--
,0,0,0,6,8.5575,,CObs,05%,--
,0,0,0,9,8.94,,CObs,05%,--
,0,0,0,12,9.4978,,CObs,05%,--
,0,0,0,24,6.7757,,CObs,05%,--
,0,0,0,36,4.51009,,CObs,05%,--
,0,0,0,48,3.61071,,CObs,05%,--
,0,0,0,72,1.9326,,CObs,05%,--
,0,0,0,96,1.11742,,CObs,05%,--
,0,0,0,120,0.59172,,CObs,05%,--
,0,0,0,0.5,,-2.37402,CObs,05%,2.5%
,0,0,0,1,,-2.07363,CObs,05%,2.5%
,0,0,0,1.5,,-0.93446,CObs,05%,2.5%
,0,0,0,2,,-0.458846,CObs,05%,2.5%
,0,0,0,3,,0.963319,CObs,05%,2.5%
,0,0,0,6,,2.91438,CObs,05%,2.5%
,0,0,0,9,,3.63671,CObs,05%,2.5%
,0,0,0,12,,3.76578,CObs,05%,2.5%
,0,0,0,24,,3.35043,CObs,05%,2.5%
,0,0,0,36,,0.691097,CObs,05%,2.5%
,0,0,0,48,,0.564904,CObs,05%,2.5%
,0,0,0,72,,0.0205308,CObs,05%,2.5%
,0,0,0,96,,-0.860399,CObs,05%,2.5%
,0,0,0,120,,-1.50628,CObs,05%,2.5%
,0,0,0,0.5,,-0.541308,CObs,05%,50%
,0,0,0,1,,-0.447837,CObs,05%,50%
,0,0,0,1.5,,2.15986,CObs,05%,50%
,0,0,0,2,,2.77649,CObs,05%,50%
,0,0,0,3,,3.72837,CObs,05%,50%
,0,0,0,6,,6.08486,CObs,05%,50%
,0,0,0,9,,7.01359,CObs,05%,50%
,0,0,0,12,,7.15818,CObs,05%,50%
,0,0,0,24,,5.0093,CObs,05%,50%
,0,0,0,36,,2.12776,CObs,05%,50%
,0,0,0,48,,1.75238,CObs,05%,50%
,0,0,0,72,,1.17553,CObs,05%,50%
,0,0,0,96,,0.1913,CObs,05%,50%
,0,0,0,120,,-0.425752,CObs,05%,50%
,0,0,0,0.5,,1.01623,CObs,05%,97.5%
,0,0,0,1,,1.32325,CObs,05%,97.5%
,0,0,0,1.5,,6.98063,CObs,05%,97.5%
,0,0,0,2,,6.52612,CObs,05%,97.5%
,0,0,0,3,,6.43824,CObs,05%,97.5%
,0,0,0,6,,9.01849,CObs,05%,97.5%
,0,0,0,9,,9.83696,CObs,05%,97.5%
,0,0,0,12,,10.046,CObs,05%,97.5%
,0,0,0,24,,6.51049,CObs,05%,97.5%
,0,0,0,36,,3.17467,CObs,05%,97.5%
,0,0,0,48,,2.64614,CObs,05%,97.5%
,0,0,0,72,,2.18045,CObs,05%,97.5%
,0,0,0,96,,1.15804,CObs,05%,97.5%
,0,0,0,120,,0.186508,CObs,05%,97.5%
,0,0,0,0.5,0.478425,,CObs,50%,--
,0,0,0,1,0.49831,,CObs,50%,--
,0,0,0,1.5,1.90362,,CObs,50%,--
,0,0,0,2,5.30565,,CObs,50%,--
,0,0,0,3,8.19395,,CObs,50%,--
,0,0,0,6,10.672,,CObs,50%,--
,0,0,0,9,11.0515,,CObs,50%,--
,0,0,0,12,10.7745,,CObs,50%,--
,0,0,0,24,9.25535,,CObs,50%,--
,0,0,0,36,7.4216,,CObs,50%,--
,0,0,0,48,6.26685,,CObs,50%,--
,0,0,0,72,4.55925,,CObs,50%,--
,0,0,0,96,3.2742,,CObs,50%,--
,0,0,0,120,2.0088,,CObs,50%,--
,0,0,0,0.5,,-1.3512,CObs,50%,2.5%
,0,0,0,1,,-0.490918,CObs,50%,2.5%
,0,0,0,1.5,,0.407931,CObs,50%,2.5%
,0,0,0,2,,2.5493,CObs,50%,2.5%
,0,0,0,3,,6.19812,CObs,50%,2.5%
,0,0,0,6,,9.06218,CObs,50%,2.5%
,0,0,0,9,,8.88,CObs,50%,2.5%
,0,0,0,12,,8.59157,CObs,50%,2.5%
,0,0,0,24,,8.05213,CObs,50%,2.5%
,0,0,0,36,,6.48411,CObs,50%,2.5%
,0,0,0,48,,5.18582,CObs,50%,2.5%
,0,0,0,72,,3.32662,CObs,50%,2.5%
,0,0,0,96,,2.22063,CObs,50%,2.5%
,0,0,0,120,,1.28986,CObs,50%,2.5%
,0,0,0,0.5,,0.00635264,CObs,50%,50%
,0,0,0,1,,1.00103,CObs,50%,50%
,0,0,0,1.5,,3.7847,CObs,50%,50%
,0,0,0,2,,5.75084,CObs,50%,50%
,0,0,0,3,,8.44363,CObs,50%,50%
,0,0,0,6,,10.9449,CObs,50%,50%
,0,0,0,9,,11.1232,CObs,50%,50%
,0,0,0,12,,10.8733,CObs,50%,50%
,0,0,0,24,,9.10363,CObs,50%,50%
,0,0,0,36,,7.4021,CObs,50%,50%
,0,0,0,48,,6.06761,CObs,50%,50%
,0,0,0,72,,4.11281,CObs,50%,50%
,0,0,0,96,,2.87171,CObs,50%,50%
,0,0,0,120,,1.9181,CObs,50%,50%
,0,0,0,0.5,,1.45011,CObs,50%,97.5%
,0,0,0,1,,3.32386,CObs,50%,97.5%
,0,0,0,1.5,,8.78523,CObs,50%,97.5%
,0,0,0,2,,9.88008,CObs,50%,97.5%
,0,0,0,3,,10.8629,CObs,50%,97.5%
,0,0,0,6,,13.1179,CObs,50%,97.5%
,0,0,0,9,,13.5131,CObs,50%,97.5%
,0,0,0,12,,13.1311,CObs,50%,97.5%
,0,0,0,24,,10.1012,CObs,50%,97.5%
,0,0,0,36,,8.28731,CObs,50%,97.5%
,0,0,0,48,,7.00469,CObs,50%,97.5%
,0,0,0,72,,4.93276,CObs,50%,97.5%
,0,0,0,96,,3.63652,CObs,50%,97.5%
,0,0,0,120,,2.58306,CObs,50%,97.5%
,0,0,0,0.5,0.50105,,CObs,95%,--
,0,0,0,1,3.9209,,CObs,95%,--
,0,0,0,1.5,3.7462,,CObs,95%,--
,0,0,0,2,11.78,,CObs,95%,--
,0,0,0,3,12.109,,CObs,95%,--
,0,0,0,6,14.501,,CObs,95%,--
,0,0,0,9,13.227,,CObs,95%,--
,0,0,0,12,13.235,,CObs,95%,--
,0,0,0,24,11.7226,,CObs,95%,--
,0,0,0,36,10.4091,,CObs,95%,--
,0,0,0,48,8.38728,,CObs,95%,--
,0,0,0,72,6.02524,,CObs,95%,--
,0,0,0,96,5.54534,,CObs,95%,--
,0,0,0,120,3.5622,,CObs,95%,--
,0,0,0,0.5,,-0.931139,CObs,95%,2.5%
,0,0,0,1,,0.493441,CObs,95%,2.5%
,0,0,0,1.5,,0.941205,CObs,95%,2.5%
,0,0,0,2,,5.08914,CObs,95%,2.5%
,0,0,0,3,,10.8366,CObs,95%,2.5%
,0,0,0,6,,13.203,CObs,95%,2.5%
,0,0,0,9,,12.8181,CObs,95%,2.5%
,0,0,0,12,,11.7363,CObs,95%,2.5%
,0,0,0,24,,13.5303,CObs,95%,2.5%
,0,0,0,36,,43.4055,CObs,95%,2.5%
,0,0,0,48,,10.2951,CObs,95%,2.5%
,0,0,0,72,,6.7915,CObs,95%,2.5%
,0,0,0,96,,5.04031,CObs,95%,2.5%
,0,0,0,120,,3.90337,CObs,95%,2.5%
,0,0,0,0.5,,0.506994,CObs,95%,50%
,0,0,0,1,,3.02243,CObs,95%,50%
,0,0,0,1.5,,5.22969,CObs,95%,50%
,0,0,0,2,,9.46414,CObs,95%,50%
,0,0,0,3,,14.5907,CObs,95%,50%
,0,0,0,6,,16.5811,CObs,95%,50%
,0,0,0,9,,15.9723,CObs,95%,50%
,0,0,0,12,,15.0419,CObs,95%,50%
,0,0,0,24,,17.9079,CObs,95%,50%
,0,0,0,36,,78.8352,CObs,95%,50%
,0,0,0,48,,15.6306,CObs,95%,50%
,0,0,0,72,,9.5402,CObs,95%,50%
,0,0,0,96,,6.95281,CObs,95%,50%
,0,0,0,120,,5.51014,CObs,95%,50%
,0,0,0,0.5,,2.51661,CObs,95%,97.5%
,0,0,0,1,,8.87693,CObs,95%,97.5%
,0,0,0,1.5,,12.2507,CObs,95%,97.5%
,0,0,0,2,,16.1284,CObs,95%,97.5%
,0,0,0,3,,20.1762,CObs,95%,97.5%
,0,0,0,6,,21.6918,CObs,95%,97.5%
,0,0,0,9,,20.8085,CObs,95%,97.5%
,0,0,0,12,,19.4931,CObs,95%,97.5%
,0,0,0,24,,23.2923,CObs,95%,97.5%
,0,0,0,36,,122.559,CObs,95%,97.5%
,0,0,0,48,,21.8082,CObs,95%,97.5%
,0,0,0,72,,13.439,CObs,95%,97.5%
,0,0,0,96,,10.5943,CObs,95%,97.5%
,0,0,0,120,,9.38282,CObs,95%,97.5%
