"Scenario","Strat1","Strat2","Strat3","t","DV","ObsName","ModelName","PRED"
NA,0,0,0,72,17.8164,"EObs","d.True model
 Turnover PD",1.41641
NA,0,0,0,96,15.303,"EObs","d.True model
 Turnover PD",35.5011
NA,0,0,0,120,12.1832,"EObs","d.True model
 Turnover PD",45.639
NA,0,0,0,144,21.8664,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,0,89.879,"EObs","d.True model
 Turnover PD",11.5078
NA,0,0,0,24,32.2642,"EObs","d.True model
 Turnover PD",11.1116
NA,0,0,0,36,28.4895,"EObs","d.True model
 Turnover PD",9.18319
NA,0,0,0,48,20.5756,"EObs","d.True model
 Turnover PD",35.6958
NA,0,0,0,0,100.91,"EObs","d.True model
 Turnover PD",7.57026
NA,0,0,0,24,40.378,"EObs","d.True model
 Turnover PD",24.5706
NA,0,0,0,36,36.633,"EObs","d.True model
 Turnover PD",6.2406
NA,0,0,0,48,27.0144,"EObs","d.True model
 Turnover PD",19.6352
NA,0,0,0,72,20.7655,"EObs","d.True model
 Turnover PD",4.24089
NA,0,0,0,96,27.2697,"EObs","d.True model
 Turnover PD",18.6634
NA,0,0,0,120,28.0732,"EObs","d.True model
 Turnover PD",2.88196
NA,0,0,0,144,36.3926,"EObs","d.True model
 Turnover PD",22.9522
NA,0,0,0,0,88.483,"EObs","d.True model
 Turnover PD",1.95848
NA,0,0,0,24,35.0327,"EObs","d.True model
 Turnover PD",29.6674
NA,0,0,0,36,25.5064,"EObs","d.True model
 Turnover PD",37.7963
NA,0,0,0,48,12.9926,"EObs","d.True model
 Turnover PD",8.90902
NA,0,0,0,72,22.9536,"EObs","d.True model
 Turnover PD",11.4629
NA,0,0,0,96,25.9963,"EObs","d.True model
 Turnover PD",11.4694
NA,0,0,0,120,25.5456,"EObs","d.True model
 Turnover PD",11.0093
NA,0,0,0,144,31.938,"EObs","d.True model
 Turnover PD",8.99676
NA,0,0,0,0,89.148,"EObs","d.True model
 Turnover PD",35.7707
NA,0,0,0,24,42.1439,"EObs","d.True model
 Turnover PD",7.33335
NA,0,0,0,36,29.6207,"EObs","d.True model
 Turnover PD",24.7418
NA,0,0,0,48,22.1505,"EObs","d.True model
 Turnover PD",5.97746
NA,0,0,0,72,19.4438,"EObs","d.True model
 Turnover PD",19.9418
NA,0,0,0,96,23.7535,"EObs","d.True model
 Turnover PD",3.97141
NA,0,0,0,120,36.257,"EObs","d.True model
 Turnover PD",19.3641
NA,0,0,0,144,43.0704,"EObs","d.True model
 Turnover PD",2.6386
NA,0,0,0,0,86.846,"EObs","d.True model
 Turnover PD",24.2113
NA,0,0,0,24,33.9192,"EObs","d.True model
 Turnover PD",31.6099
NA,0,0,0,36,23.3862,"EObs","d.True model
 Turnover PD",40.4478
NA,0,0,0,48,20.4558,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,72,20.1929,"EObs","d.True model
 Turnover PD",8.92837
NA,0,0,0,96,25.6736,"EObs","d.True model
 Turnover PD",11.5325
NA,0,0,0,120,35.6149,"EObs","d.True model
 Turnover PD",11.5915
NA,0,0,0,0,100.86,"EObs","d.True model
 Turnover PD",11.18
NA,0,0,0,24,37.0967,"EObs","d.True model
 Turnover PD",9.31765
NA,0,0,0,36,24.1257,"EObs","d.True model
 Turnover PD",35.6453
NA,0,0,0,48,11.3667,"EObs","d.True model
 Turnover PD",7.74607
NA,0,0,0,72,16.6317,"EObs","d.True model
 Turnover PD",24.4511
NA,0,0,0,96,18.6101,"EObs","d.True model
 Turnover PD",6.43953
NA,0,0,0,120,15.247,"EObs","d.True model
 Turnover PD",19.4188
NA,0,0,0,0,96.569,"EObs","d.True model
 Turnover PD",4.45041
NA,0,0,0,24,26.5085,"EObs","d.True model
 Turnover PD",18.1658
NA,0,0,0,36,24.5205,"EObs","d.True model
 Turnover PD",3.07571
NA,0,0,0,48,13.0254,"EObs","d.True model
 Turnover PD",22.0554
NA,0,0,0,72,21.6292,"EObs","d.True model
 Turnover PD",2.12565
NA,0,0,0,96,29.6455,"EObs","d.True model
 Turnover PD",28.2741
NA,0,0,0,120,42.7707,"EObs","d.True model
 Turnover PD",35.8687
NA,0,0,0,0,92.625,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,24,38.4159,"EObs","d.True model
 Turnover PD",1.44931
NA,0,0,0,36,31.8691,"EObs","d.True model
 Turnover PD",6.23239
NA,0,0,0,48,24.0963,"EObs","d.True model
 Turnover PD",8.89967
NA,0,0,0,72,21.1896,"EObs","d.True model
 Turnover PD",11.4295
NA,0,0,0,96,20.5134,"EObs","d.True model
 Turnover PD",11.4109
NA,0,0,0,120,23.0239,"EObs","d.True model
 Turnover PD",10.9277
NA,0,0,0,0,88.494,"EObs","d.True model
 Turnover PD",8.84555
NA,0,0,0,24,33.0132,"EObs","d.True model
 Turnover PD",35.8322
NA,0,0,0,36,21.3509,"EObs","d.True model
 Turnover PD",7.14168
NA,0,0,0,48,22.9068,"EObs","d.True model
 Turnover PD",24.8857
NA,0,0,0,72,27.2307,"EObs","d.True model
 Turnover PD",5.76599
NA,0,0,0,96,39.2004,"EObs","d.True model
 Turnover PD",20.2028
NA,0,0,0,120,52.5837,"EObs","d.True model
 Turnover PD",3.75856
NA,0,0,0,0,96.596,"EObs","d.True model
 Turnover PD",19.9689
NA,0,0,0,24,48.969,"EObs","d.True model
 Turnover PD",2.45001
NA,0,0,0,36,24.5795,"EObs","d.True model
 Turnover PD",25.3034
NA,0,0,0,48,21.9282,"EObs","d.True model
 Turnover PD",1.59704
NA,0,0,0,72,18.4368,"EObs","d.True model
 Turnover PD",33.2879
NA,0,0,0,96,24.7019,"EObs","d.True model
 Turnover PD",42.7083
NA,0,0,0,120,30.3128,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,0,96.497,"EObs","d.True model
 Turnover PD",9.12126
NA,0,0,0,24,30.1256,"EObs","d.True model
 Turnover PD",35.7212
NA,0,0,0,36,19.2491,"EObs","d.True model
 Turnover PD",7.49251
NA,0,0,0,48,10.293,"EObs","d.True model
 Turnover PD",24.6267
NA,0,0,0,72,7.30014,"EObs","d.True model
 Turnover PD",6.15457
NA,0,0,0,96,5.45757,"EObs","d.True model
 Turnover PD",19.7341
NA,0,0,0,120,9.24829,"EObs","d.True model
 Turnover PD",4.15278
NA,0,0,0,0,93.066,"EObs","d.True model
 Turnover PD",18.8858
NA,0,0,0,24,42.0251,"EObs","d.True model
 Turnover PD",2.80208
NA,0,0,0,36,30.1257,"EObs","d.True model
 Turnover PD",23.3492
NA,0,0,0,48,18.9911,"EObs","d.True model
 Turnover PD",1.8907
NA,0,0,0,72,10.5693,"EObs","d.True model
 Turnover PD",30.2791
NA,0,0,0,96,25.921,"EObs","d.True model
 Turnover PD",38.6338
NA,0,0,0,120,21.3958,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,0,88.021,"EObs","d.True model
 Turnover PD",4.18583
NA,0,0,0,24,30.7706,"EObs","d.True model
 Turnover PD",8.9241
NA,0,0,0,36,9.09056,"EObs","d.True model
 Turnover PD",11.5171
NA,0,0,0,48,17.6911,"EObs","d.True model
 Turnover PD",11.1421
NA,0,0,0,72,13.4857,"EObs","d.True model
 Turnover PD",9.24585
NA,0,0,0,96,17.9623,"EObs","d.True model
 Turnover PD",35.6728
NA,0,0,0,120,19.0498,"EObs","d.True model
 Turnover PD",7.65302
NA,0,0,0,0,99.997,"EObs","d.True model
 Turnover PD",24.5145
NA,0,0,0,24,29.8913,"EObs","d.True model
 Turnover PD",6.33456
NA,0,0,0,36,16.2783,"EObs","d.True model
 Turnover PD",19.5323
NA,0,0,0,48,11.4075,"EObs","d.True model
 Turnover PD",4.33995
NA,0,0,0,72,19.4789,"EObs","d.True model
 Turnover PD",18.4243
NA,0,0,0,96,19.2147,"EObs","d.True model
 Turnover PD",2.97339
NA,0,0,0,120,22.3675,"EObs","d.True model
 Turnover PD",22.5192
NA,0,0,0,0,99.465,"EObs","d.True model
 Turnover PD",2.03714
NA,0,0,0,24,40.2646,"EObs","d.True model
 Turnover PD",28.9937
NA,0,0,0,36,42.5494,"EObs","d.True model
 Turnover PD",36.8652
NA,0,0,0,48,34.9593,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,72,42.5386,"EObs","d.True model
 Turnover PD",8.92404
NA,0,0,0,96,59.3206,"EObs","d.True model
 Turnover PD",11.5078
NA,0,0,0,120,72.6826,"EObs","d.True model
 Turnover PD",11.5443
NA,0,0,0,0,103.98,"EObs","d.True model
 Turnover PD",9.18319
NA,0,0,0,24,36.375,"EObs","d.True model
 Turnover PD",35.6958
NA,0,0,0,36,24.6517,"EObs","d.True model
 Turnover PD",7.57026
NA,0,0,0,48,21.0694,"EObs","d.True model
 Turnover PD",24.5706
NA,0,0,0,72,18.3217,"EObs","d.True model
 Turnover PD",6.2406
NA,0,0,0,96,19.4268,"EObs","d.True model
 Turnover PD",19.6352
NA,0,0,0,120,35.4772,"EObs","d.True model
 Turnover PD",4.24089
NA,0,0,0,0,92.94,"EObs","d.True model
 Turnover PD",2.88196
NA,0,0,0,24,33.7306,"EObs","d.True model
 Turnover PD",1.95848
NA,0,0,0,36,18.4625,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,48,11.4517,"EObs","d.True model
 Turnover PD",4.18714
NA,0,0,0,72,10.3903,"EObs","d.True model
 Turnover PD",8.92404
NA,0,0,0,96,15.5045,"EObs","d.True model
 Turnover PD",11.5078
NA,0,0,0,120,17.6349,"EObs","d.True model
 Turnover PD",11.5443
NA,0,0,0,0,95.305,"EObs","d.True model
 Turnover PD",9.18319
NA,0,0,0,24,37.8542,"EObs","d.True model
 Turnover PD",35.6958
NA,0,0,0,36,24.1388,"EObs","d.True model
 Turnover PD",7.57026
NA,0,0,0,48,23.732,"EObs","d.True model
 Turnover PD",24.5706
NA,0,0,0,72,14.6975,"EObs","d.True model
 Turnover PD",6.2406
NA,0,0,0,96,16.1734,"EObs","d.True model
 Turnover PD",19.6352
NA,0,0,0,120,24.6172,"EObs","d.True model
 Turnover PD",4.24089
NA,0,0,0,0,97.752,"EObs","d.True model
 Turnover PD",18.6634
NA,0,0,0,24,37.6859,"EObs","d.True model
 Turnover PD",2.88196
NA,0,0,0,36,26.603,"EObs","d.True model
 Turnover PD",22.9522
NA,0,0,0,48,16.9962,"EObs","d.True model
 Turnover PD",1.95848
NA,0,0,0,72,28.469,"EObs","d.True model
 Turnover PD",29.6674
NA,0,0,0,96,30.635,"EObs","d.True model
 Turnover PD",37.7963
NA,0,0,0,120,37.688,"EObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,0,98.957,"EObs","d.True model
 Turnover PD",0
NA,0,0,0,24,38.0542,"EObs","d.True model
 Turnover PD",1.44931
NA,0,0,0,36,29.453,"EObs","d.True model
 Turnover PD",6.23239
NA,0,0,0,48,12.5994,"EObs","d.True model
 Turnover PD",8.89967
NA,0,0,0,72,10.0788,"EObs","d.True model
 Turnover PD",11.4295
NA,0,0,0,96,12.2539,"EObs","d.True model
 Turnover PD",11.4109
NA,0,0,0,120,30.0396,"EObs","d.True model
 Turnover PD",8.84555
NA,0,0,0,0,102.92,"EObs","d.True model
 Turnover PD",35.8322
NA,0,0,0,24,46.774,"EObs","d.True model
 Turnover PD",7.14168
NA,0,0,0,36,37.7145,"EObs","d.True model
 Turnover PD",24.8857
NA,0,0,0,48,23.8848,"EObs","d.True model
 Turnover PD",5.76599
NA,0,0,0,72,24.3291,"EObs","d.True model
 Turnover PD",20.2028
NA,0,0,0,96,22.0174,"EObs","d.True model
 Turnover PD",3.75856
NA,0,0,0,120,22.9906,"EObs","d.True model
 Turnover PD",19.9689
