"grp","x","cens","y","cov","ty","PRED","ModelName"
2,24,0,0.591776890591446,1,0.591776890591446,35.7212,"d.True model
 Turnover PD"
3,36,0,0.646431416324407,1,0.646431416324407,24.6267,"d.True model
 Turnover PD"
4,48,0,-0.107994569409154,1,-0.107994569409154,19.7341,"d.True model
 Turnover PD"
5,72,0,1.15034938037601,1,1.15034938037601,18.8858,"d.True model
 Turnover PD"
6,96,0,0.353117971973689,1,0.353117971973689,23.3492,"d.True model
 Turnover PD"
7,120,0,1.08031934081496,1,1.08031934081496,30.2791,"d.True model
 Turnover PD"
8,144,0,0.23526894111328,1,0.23526894111328,38.6338,"d.True model
 Turnover PD"
1,0,0,0.118085389425553,1,0.118085389425553,95.8316,"d.True model
 Turnover PD"
2,24,0,-0.10043372051147,1,-0.10043372051147,35.6728,"d.True model
 Turnover PD"
3,36,0,-0.813380388213404,1,-0.813380388213404,24.5145,"d.True model
 Turnover PD"
4,48,0,-0.36917136250309,1,-0.36917136250309,19.5323,"d.True model
 Turnover PD"
5,72,0,-0.281926329587061,1,-0.281926329587061,18.4243,"d.True model
 Turnover PD"
6,96,0,-1.07137688928021,1,-1.07137688928021,22.5192,"d.True model
 Turnover PD"
7,120,0,-1.95996398454005,1,-1.95996398454005,28.9937,"d.True model
 Turnover PD"
8,144,0,-1.43953147093846,1,-1.43953147093846,36.8652,"d.True model
 Turnover PD"
1,0,0,-1.05374430213067,1,-1.05374430213067,95.8316,"d.True model
 Turnover PD"
2,24,0,-0.709522973844608,1,-0.709522973844608,35.6958,"d.True model
 Turnover PD"
3,36,0,0.464904287509595,1,0.464904287509595,24.5706,"d.True model
 Turnover PD"
4,48,0,0.00501327754892666,1,0.00501327754892666,19.6352,"d.True model
 Turnover PD"
1,0,0,0.84519853528205,1,0.84519853528205,95.8316,"d.True model
 Turnover PD"
2,24,0,0.579873392427704,1,0.579873392427704,35.6958,"d.True model
 Turnover PD"
3,36,0,1.76241029786239,1,1.76241029786239,24.5706,"d.True model
 Turnover PD"
4,48,0,1.02789334580214,1,1.02789334580214,19.6352,"d.True model
 Turnover PD"
5,72,0,0.2533471031358,1,0.2533471031358,18.6634,"d.True model
 Turnover PD"
6,96,0,0.36917136250309,1,0.36917136250309,22.9522,"d.True model
 Turnover PD"
7,120,0,-0.189118426272792,1,-0.189118426272792,29.6674,"d.True model
 Turnover PD"
8,144,0,-0.168741467620538,1,-0.168741467620538,37.7963,"d.True model
 Turnover PD"
1,0,0,-1.353174154548,1,-1.353174154548,95.8316,"d.True model
 Turnover PD"
2,24,0,-0.201893479141851,1,-0.201893479141851,35.8322,"d.True model
 Turnover PD"
3,36,0,0.0325919366966631,1,0.0325919366966631,24.8857,"d.True model
 Turnover PD"
