grp,x,cens,y,cov,ty,PRED,ModelName,PPRED,PWRES
8,144,0,1.310579112,1,1.310579112,35.8687,"d.True model
 Turnover PD",37.95251333,0.880600224
1,0,0,-0.576910377,1,-0.576910377,95.8316,"d.True model
 Turnover PD",95.8773447,-0.583992546
2,24,0,0.646431416,1,0.646431416,35.8322,"d.True model
 Turnover PD",36.3812061,0.728965631
3,36,0,-0.358458793,1,-0.358458793,24.8857,"d.True model
 Turnover PD",25.43728957,-1.027969301
4,48,0,0.120609934,1,0.120609934,20.2028,"d.True model
 Turnover PD",20.94168687,0.109004783
5,72,0,0.762100541,1,0.762100541,19.9689,"d.True model
 Turnover PD",20.69539824,0.773597313
6,96,0,0.168741468,1,0.168741468,25.3034,"d.True model
 Turnover PD",26.60738143,-0.80838876
7,120,0,0.510073457,1,0.510073457,33.2879,"d.True model
 Turnover PD",34.50348495,0.439159213
8,144,0,0.337155077,1,0.337155077,42.7083,"d.True model
 Turnover PD",43.24459491,-0.352176078
1,0,0,1.425544037,1,1.425544037,95.8316,"d.True model
 Turnover PD",96.0420949,1.465981096
2,24,0,0.591776891,1,0.591776891,35.7212,"d.True model
 Turnover PD",36.8472962,0.325795274
3,36,0,0.646431416,1,0.646431416,24.6267,"d.True model
 Turnover PD",25.76723837,0.247430852
4,48,0,-0.107994569,1,-0.107994569,19.7341,"d.True model
 Turnover PD",20.98549963,-0.747501648
5,72,0,1.15034938,1,1.15034938,18.8858,"d.True model
 Turnover PD",20.58373834,1.471733826
6,96,0,0.353117972,1,0.353117972,23.3492,"d.True model
 Turnover PD",25.73858699,-0.792096471
7,120,0,1.080319341,1,1.080319341,30.2791,"d.True model
 Turnover PD",32.96700369,1.647234331
8,144,0,0.235268941,1,0.235268941,38.6338,"d.True model
 Turnover PD",41.19376023,-1.856973469
1,0,0,0.118085389,1,0.118085389,95.8316,"d.True model
 Turnover PD",95.5765032,0.130762176
2,24,0,-0.100433721,1,-0.100433721,35.6728,"d.True model
 Turnover PD",36.6226626,-0.125135793
3,36,0,-0.813380388,1,-0.813380388,24.5145,"d.True model
 Turnover PD",25.40388728,-0.923844632
4,48,0,-0.369171363,1,-0.369171363,19.5323,"d.True model
 Turnover PD",20.58901155,0.009811105
5,72,0,-0.28192633,1,-0.28192633,18.4243,"d.True model
 Turnover PD",19.8636023,0.081675842
6,96,0,-1.071376889,1,-1.071376889,22.5192,"d.True model
 Turnover PD",24.28659049,-1.072375004
7,120,0,-1.959963985,1,-1.959963985,28.9937,"d.True model
 Turnover PD",31.22818444,-1.821968322
8,144,0,-1.439531471,1,-1.439531471,36.8652,"d.True model
 Turnover PD",39.26061039,0.305928151
1,0,0,-1.053744302,1,-1.053744302,95.8316,"d.True model
 Turnover PD",95.8333838,-1.052160499
2,24,0,-0.709522974,1,-0.709522974,35.6958,"d.True model
 Turnover PD",36.7500255,-0.535054138
3,36,0,0.464904288,1,0.464904288,24.5706,"d.True model
 Turnover PD",25.79343715,1.092449152
4,48,0,0.005013278,1,0.005013278,19.6352,"d.True model
 Turnover PD",20.81829811,0.015437398
1,0,0,0.845198535,1,0.845198535,95.8316,"d.True model
 Turnover PD",95.9822894,0.865144073
2,24,0,0.579873392,1,0.579873392,35.6958,"d.True model
 Turnover PD",36.6005051,0.449144589
3,36,0,1.762410298,1,1.762410298,24.5706,"d.True model
 Turnover PD",25.24279289,1.919441413
4,48,0,1.027893346,1,1.027893346,19.6352,"d.True model
 Turnover PD",20.59450798,0.06843039
