Scenario,Label,nV,nCl,nTabs,nTlag,nEC50,nTeq,nE0
,Omega,,,,,,,
,nV,0.018149521,,,,,,
,nCl,0,0.070469466,,,,,
,nTabs,0,0,0.37963495,,,,
,nTlag,0,0,0,0.47527502,,,
,nEC50,0,0,0,0,0.032156743,,
,nTeq,0,0,0,0,0,0.041602434,
,nE0,0,0,0,0,0,0,0.0017077371
,Correlation,,,,,,,
,nV,1,,,,,,
,nCl,0,1,,,,,
,nTabs,0,0,1,,,,
,nTlag,0,0,0,1,,,
,nEC50,0,0,0,0,1,,
,nTeq,0,0,0,0,0,1,
,nE0,0,0,0,0,0,0,1
,Shrinkage,0.107383011135119,0.0515192961356847,0.340889783596108,0.672545290597342,0.143762108011109,0.235649265888941,0.26032898661473
