Scenario,Strat1,Strat2,Strat3,t,DV,ObsName
,0,0,0,24,43.8312,EObs
,0,0,0,36,27.9901,EObs
,0,0,0,48,25.0302,EObs
,0,0,0,72,34.404,EObs
,0,0,0,96,42.4959,EObs
,0,0,0,120,57.6585,EObs
,0,0,0,144,74.163,EObs
,0,0,0,0,101.54,EObs
,0,0,0,24,28.1102,EObs
,0,0,0,36,25.4039,EObs
,0,0,0,48,25.8117,EObs
,0,0,0,72,23.6228,EObs
,0,0,0,96,32.2559,EObs
,0,0,0,120,35.9677,EObs
,0,0,0,0,93.322,EObs
,0,0,0,24,28.5822,EObs
,0,0,0,36,24.2327,EObs
,0,0,0,48,18.8148,EObs
,0,0,0,72,18.2214,EObs
,0,0,0,96,20.7329,EObs
,0,0,0,120,18.3926,EObs
,0,0,0,144,23.614,EObs
,0,0,0,0,91.519,EObs
,0,0,0,24,26.9338,EObs
,0,0,0,36,22.632,EObs
,0,0,0,48,18.0163,EObs
,0,0,0,72,19.0578,EObs
,0,0,0,96,17.6177,EObs
,0,0,0,120,21.2036,EObs
,0,0,0,144,29.93,EObs
,0,0,0,0,105.56,EObs
,0,0,0,24,42.0248,EObs
,0,0,0,36,25.9758,EObs
,0,0,0,48,32.5728,EObs
,0,0,0,72,37.6106,EObs
,0,0,0,96,43.7723,EObs
,0,0,0,120,60.6413,EObs
,0,0,0,144,66.6276,EObs
,0,0,0,0,90.151,EObs
,0,0,0,24,37.3335,EObs
,0,0,0,36,27.7752,EObs
,0,0,0,48,18.8951,EObs
,0,0,0,72,29.2457,EObs
,0,0,0,96,31.0506,EObs
,0,0,0,120,45.3749,EObs
,0,0,0,144,57.3817,EObs
,0,0,0,24,30.032,EObs
,0,0,0,36,21.8909,EObs
,0,0,0,48,19.8604,EObs
,0,0,0,72,13.6508,EObs
,0,0,0,96,14.6738,EObs
,0,0,0,120,24.2536,EObs
,0,0,0,144,29.6075,EObs
,0,0,0,0,106.72,EObs
,0,0,0,24,36.1222,EObs
,0,0,0,36,27.846,EObs
,0,0,0,48,30.4037,EObs
,0,0,0,72,30.0459,EObs
,0,0,0,96,38.6354,EObs
,0,0,0,120,49.0526,EObs
,0,0,0,144,63.7054,EObs
,0,0,0,0,92.508,EObs
,0,0,0,24,39.6489,EObs
,0,0,0,36,21.9647,EObs
,0,0,0,48,20.289,EObs
,0,0,0,72,23.664,EObs
,0,0,0,96,24.2633,EObs
,0,0,0,120,36.2898,EObs
,0,0,0,144,43.2767,EObs
,0,0,0,0,104.51,EObs
,0,0,0,24,40.6609,EObs
,0,0,0,36,29.1761,EObs
,0,0,0,48,19.6872,EObs
,0,0,0,72,28.87,EObs
,0,0,0,96,27.679,EObs
,0,0,0,120,46.928,EObs
,0,0,0,144,43.5876,EObs
,0,0,0,0,96.307,EObs
,0,0,0,24,36.2271,EObs
,0,0,0,36,20.8844,EObs
,0,0,0,48,18.5905,EObs
,0,0,0,72,18.2157,EObs
,0,0,0,96,15.5388,EObs
,0,0,0,120,12.2523,EObs
,0,0,0,144,21.79,EObs
,0,0,0,0,89.879,EObs
,0,0,0,24,32.3378,EObs
,0,0,0,36,28.6152,EObs
,0,0,0,48,20.7055,EObs
,0,0,0,0,100.91,EObs
,0,0,0,24,40.4701,EObs
,0,0,0,36,36.7945,EObs
,0,0,0,48,27.185,EObs
,0,0,0,72,20.9873,EObs
,0,0,0,96,27.4664,EObs
,0,0,0,120,28.1461,EObs
,0,0,0,144,36.3129,EObs
,0,0,0,0,88.483,EObs
,0,0,0,24,34.5034,EObs
,0,0,0,36,24.7502,EObs
,0,0,0,48,12.4561,EObs
,0,0,0,72,22.0192,EObs
,0,0,0,96,25.355,EObs
,0,0,0,120,25.4206,EObs
,0,0,0,144,32.2549,EObs
,0,0,0,0,89.148,EObs
,0,0,0,24,41.7073,EObs
,0,0,0,36,29.0235,EObs
,0,0,0,48,21.5264,EObs
,0,0,0,72,18.914,EObs
,0,0,0,96,23.3461,EObs
,0,0,0,120,36.0959,EObs
,0,0,0,144,43.28,EObs
,0,0,0,0,86.846,EObs
,0,0,0,24,33.6182,EObs
,0,0,0,36,22.9747,EObs
,0,0,0,48,19.9479,EObs
,0,0,0,72,19.7108,EObs
,0,0,0,96,25.2862,EObs
,0,0,0,120,35.4766,EObs
,0,0,0,0,100.86,EObs
,0,0,0,24,37.2186,EObs
,0,0,0,36,24.2883,EObs
,0,0,0,48,11.4794,EObs
,0,0,0,72,16.8827,EObs
