Scenario,Strat1,Strat2,Strat3,t,DV,ObsName
,0,0,0,24,43.8327,EObs
,0,0,0,36,27.9937,EObs
,0,0,0,48,25.0362,EObs
,0,0,0,72,34.41,EObs
,0,0,0,96,42.4976,EObs
,0,0,0,120,57.6534,EObs
,0,0,0,144,74.163,EObs
,0,0,0,0,101.54,EObs
,0,0,0,24,28.1112,EObs
,0,0,0,36,25.4072,EObs
,0,0,0,48,25.8179,EObs
,0,0,0,72,23.6269,EObs
,0,0,0,96,32.2571,EObs
,0,0,0,120,35.9645,EObs
,0,0,0,0,93.322,EObs
,0,0,0,24,28.5832,EObs
,0,0,0,36,24.2359,EObs
,0,0,0,48,18.8193,EObs
,0,0,0,72,18.2246,EObs
,0,0,0,96,20.7337,EObs
,0,0,0,120,18.3909,EObs
,0,0,0,144,23.614,EObs
,0,0,0,0,91.519,EObs
,0,0,0,24,26.9327,EObs
,0,0,0,36,22.6277,EObs
,0,0,0,48,18.0099,EObs
,0,0,0,72,19.0482,EObs
,0,0,0,96,17.615,EObs
,0,0,0,120,21.2078,EObs
,0,0,0,144,29.9489,EObs
,0,0,0,0,105.56,EObs
,0,0,0,24,42.0351,EObs
,0,0,0,36,26.0007,EObs
,0,0,0,48,32.6287,EObs
,0,0,0,72,37.6704,EObs
,0,0,0,96,43.7793,EObs
,0,0,0,120,60.5691,EObs
,0,0,0,144,66.4963,EObs
,0,0,0,0,90.151,EObs
,0,0,0,24,37.3328,EObs
,0,0,0,36,27.7727,EObs
,0,0,0,48,18.8919,EObs
,0,0,0,72,29.2378,EObs
,0,0,0,96,31.0483,EObs
,0,0,0,120,45.3803,EObs
,0,0,0,144,57.4069,EObs
,0,0,0,24,30.0343,EObs
,0,0,0,36,21.8975,EObs
,0,0,0,48,19.8715,EObs
,0,0,0,72,13.6579,EObs
,0,0,0,96,14.6756,EObs
,0,0,0,120,24.247,EObs
,0,0,0,144,29.5964,EObs
,0,0,0,0,106.72,EObs
,0,0,0,24,36.1189,EObs
,0,0,0,36,27.835,EObs
,0,0,0,48,30.3806,EObs
,0,0,0,72,30.0162,EObs
,0,0,0,96,38.6226,EObs
,0,0,0,120,49.0694,EObs
,0,0,0,144,63.7698,EObs
,0,0,0,0,92.508,EObs
,0,0,0,24,39.655,EObs
,0,0,0,36,21.9779,EObs
,0,0,0,48,20.3114,EObs
,0,0,0,72,23.6889,EObs
,0,0,0,96,24.2678,EObs
,0,0,0,120,36.2662,EObs
,0,0,0,144,43.2304,EObs
,0,0,0,0,104.51,EObs
,0,0,0,24,40.6615,EObs
,0,0,0,36,29.1773,EObs
,0,0,0,48,19.6887,EObs
,0,0,0,72,28.87,EObs
,0,0,0,96,27.679,EObs
,0,0,0,120,46.928,EObs
,0,0,0,144,43.5954,EObs
,0,0,0,0,96.307,EObs
,0,0,0,24,36.2252,EObs
,0,0,0,36,20.8796,EObs
,0,0,0,48,18.5822,EObs
,0,0,0,72,18.2047,EObs
,0,0,0,96,15.5359,EObs
,0,0,0,120,12.2551,EObs
,0,0,0,144,21.8055,EObs
,0,0,0,0,89.879,EObs
,0,0,0,24,32.3372,EObs
,0,0,0,36,28.6126,EObs
,0,0,0,48,20.7021,EObs
,0,0,0,0,100.91,EObs
,0,0,0,24,40.4694,EObs
,0,0,0,36,36.7912,EObs
,0,0,0,48,27.1804,EObs
,0,0,0,72,20.9816,EObs
,0,0,0,96,27.4644,EObs
,0,0,0,120,28.1495,EObs
,0,0,0,144,36.3288,EObs
,0,0,0,0,88.483,EObs
,0,0,0,24,34.5087,EObs
,0,0,0,36,24.7651,EObs
,0,0,0,48,12.4699,EObs
,0,0,0,72,22.0423,EObs
,0,0,0,96,25.3597,EObs
,0,0,0,120,25.4041,EObs
,0,0,0,144,32.2205,EObs
,0,0,0,0,89.148,EObs
,0,0,0,24,41.7115,EObs
,0,0,0,36,29.0352,EObs
,0,0,0,48,21.5424,EObs
,0,0,0,72,18.9272,EObs
,0,0,0,96,23.3495,EObs
,0,0,0,120,36.0817,EObs
,0,0,0,144,43.2542,EObs
,0,0,0,0,86.846,EObs
,0,0,0,24,33.6213,EObs
,0,0,0,36,22.983,EObs
,0,0,0,48,19.9612,EObs
,0,0,0,72,19.7231,EObs
,0,0,0,96,25.2897,EObs
,0,0,0,120,35.4646,EObs
,0,0,0,0,100.86,EObs
,0,0,0,24,37.2174,EObs
,0,0,0,36,24.2848,EObs
,0,0,0,48,11.4762,EObs
,0,0,0,72,16.8759,EObs
,0,0,0,96,18.7987,EObs
,0,0,0,120,15.3049,EObs
,0,0,0,0,96.569,EObs
,0,0,0,24,26.5376,EObs
,0,0,0,36,24.5824,EObs
,0,0,0,48,13.0762,EObs
,0,0,0,72,21.8043,EObs
,0,0,0,96,29.8092,EObs
,0,0,0,120,42.8513,EObs
,0,0,0,0,92.625,EObs
,0,0,0,24,38.2077,EObs
,0,0,0,36,31.5382,EObs
,0,0,0,48,23.7479,EObs
,0,0,0,72,20.9211,EObs
,0,0,0,96,20.3417,EObs
,0,0,0,120,22.96,EObs
,0,0,0,0,88.494,EObs
,0,0,0,24,32.7465,EObs
,0,0,0,36,21.012,EObs
,0,0,0,48,22.3962,EObs
,0,0,0,72,26.6515,EObs
,0,0,0,96,38.6622,EObs
,0,0,0,120,52.3756,EObs
,0,0,0,0,96.596,EObs
,0,0,0,24,48.6733,EObs
,0,0,0,36,24.287,EObs
,0,0,0,48,21.5604,EObs
,0,0,0,72,18.1541,EObs
,0,0,0,96,24.4542,EObs
,0,0,0,120,30.2201,EObs
,0,0,0,0,96.497,EObs
,0,0,0,24,29.861,EObs
,0,0,0,36,18.9172,EObs
,0,0,0,48,10.0441,EObs
,0,0,0,72,7.13028,EObs
,0,0,0,96,5.37597,EObs
,0,0,0,120,9.20926,EObs
,0,0,0,0,93.066,EObs
,0,0,0,24,42.0752,EObs
,0,0,0,36,30.1906,EObs
,0,0,0,48,19.0483,EObs
,0,0,0,72,10.6406,EObs
,0,0,0,96,26.0405,EObs
,0,0,0,120,21.4335,EObs
,0,0,0,0,88.021,EObs
,0,0,0,24,30.8372,EObs
,0,0,0,36,9.13301,EObs
,0,0,0,48,17.815,EObs
,0,0,0,72,13.644,EObs
,0,0,0,96,18.1071,EObs
,0,0,0,120,19.1045,EObs
,0,0,0,0,99.997,EObs
,0,0,0,24,29.9241,EObs
,0,0,0,36,16.3193,EObs
,0,0,0,48,11.452,EObs
,0,0,0,72,19.6366,EObs
,0,0,0,96,19.3208,EObs
,0,0,0,120,22.4096,EObs
,0,0,0,0,99.465,EObs
,0,0,0,24,40.4362,EObs
,0,0,0,36,42.9172,EObs
,0,0,0,48,35.4007,EObs
,0,0,0,72,43.3152,EObs
,0,0,0,96,60.0726,EObs
,0,0,0,120,73.0338,EObs
,0,0,0,0,103.98,EObs
,0,0,0,24,36.5301,EObs
,0,0,0,36,24.8648,EObs
,0,0,0,48,21.3355,EObs
,0,0,0,72,18.6562,EObs
,0,0,0,96,19.673,EObs
,0,0,0,120,35.6486,EObs
,0,0,0,0,92.94,EObs
,0,0,0,24,33.8744,EObs
,0,0,0,36,18.622,EObs
,0,0,0,48,11.5963,EObs
,0,0,0,72,10.58,EObs
,0,0,0,96,15.701,EObs
,0,0,0,120,17.7201,EObs
,0,0,0,0,95.305,EObs
,0,0,0,24,38.3767,EObs
,0,0,0,36,24.8239,EObs
,0,0,0,48,24.7338,EObs
,0,0,0,72,15.5117,EObs
,0,0,0,96,16.8278,EObs
,0,0,0,120,25.0561,EObs
,0,0,0,0,97.752,EObs
,0,0,0,24,37.6445,EObs
,0,0,0,36,26.5459,EObs
,0,0,0,48,16.9454,EObs
,0,0,0,72,28.469,EObs
,0,0,0,96,30.635,EObs
,0,0,0,120,37.688,EObs
,0,0,0,0,98.957,EObs
,0,0,0,24,38.2921,EObs
,0,0,0,36,29.8198,EObs
,0,0,0,48,12.8269,EObs
,0,0,0,72,10.3273,EObs
,0,0,0,96,12.4657,EObs
,0,0,0,120,30.246,EObs
,0,0,0,0,102.92,EObs
,0,0,0,24,46.4915,EObs
,0,0,0,36,37.2656,EObs
