Scenario,Strat1,Strat2,Strat3,t,DV,ObsName
,0,0,0,24,43.9877,EObs
,0,0,0,36,28.1815,EObs
,0,0,0,48,25.2693,EObs
,0,0,0,72,34.6484,EObs
,0,0,0,96,42.6941,EObs
,0,0,0,120,57.7486,EObs
,0,0,0,144,74.163,EObs
,0,0,0,0,101.54,EObs
,0,0,0,24,28.2106,EObs
,0,0,0,36,25.5776,EObs
,0,0,0,48,26.0583,EObs
,0,0,0,72,23.7906,EObs
,0,0,0,96,32.4063,EObs
,0,0,0,120,36.024,EObs
,0,0,0,0,93.322,EObs
,0,0,0,24,28.6843,EObs
,0,0,0,36,24.3984,EObs
,0,0,0,48,18.9945,EObs
,0,0,0,72,18.3508,EObs
,0,0,0,96,20.8296,EObs
,0,0,0,120,18.4213,EObs
,0,0,0,144,23.614,EObs
,0,0,0,0,91.519,EObs
,0,0,0,24,26.8184,EObs
,0,0,0,36,22.4338,EObs
,0,0,0,48,17.7853,EObs
,0,0,0,72,18.7067,EObs
,0,0,0,96,17.3945,EObs
,0,0,0,120,21.1058,EObs
,0,0,0,144,30.0265,EObs
,0,0,0,0,105.56,EObs
,0,0,0,24,43.087,EObs
,0,0,0,36,27.2725,EObs
,0,0,0,48,34.8315,EObs
,0,0,0,72,40.133,EObs
,0,0,0,96,45.3809,EObs
,0,0,0,120,60.8378,EObs
,0,0,0,144,65.2761,EObs
,0,0,0,0,90.151,EObs
,0,0,0,24,37.2485,EObs
,0,0,0,36,27.6533,EObs
,0,0,0,48,18.7765,EObs
,0,0,0,72,28.9368,EObs
,0,0,0,96,30.8282,EObs
,0,0,0,120,45.2574,EObs
,0,0,0,144,57.5076,EObs
,0,0,0,24,30.2578,EObs
,0,0,0,36,22.2204,EObs
,0,0,0,48,20.2859,EObs
,0,0,0,72,13.9263,EObs
,0,0,0,96,14.8613,EObs
,0,0,0,120,24.3364,EObs
,0,0,0,144,29.5144,EObs
,0,0,0,0,106.72,EObs
,0,0,0,24,35.7995,EObs
,0,0,0,36,27.3375,EObs
,0,0,0,48,29.5881,EObs
,0,0,0,72,28.984,EObs
,0,0,0,96,37.6673,EObs
,0,0,0,120,48.5627,EObs
,0,0,0,144,63.97,EObs
,0,0,0,0,92.508,EObs
,0,0,0,24,40.2572,EObs
,0,0,0,36,22.6357,EObs
,0,0,0,48,21.1629,EObs
,0,0,0,72,24.6683,EObs
,0,0,0,96,24.877,EObs
,0,0,0,120,36.4682,EObs
,0,0,0,144,42.8514,EObs
,0,0,0,0,104.51,EObs
,0,0,0,24,40.7062,EObs
,0,0,0,36,29.24,EObs
,0,0,0,48,19.7477,EObs
,0,0,0,72,28.87,EObs
,0,0,0,96,27.679,EObs
,0,0,0,120,46.928,EObs
,0,0,0,144,43.6293,EObs
,0,0,0,0,96.307,EObs
,0,0,0,24,36.0362,EObs
,0,0,0,36,20.6597,EObs
,0,0,0,48,18.2974,EObs
,0,0,0,72,17.8164,EObs
,0,0,0,96,15.303,EObs
,0,0,0,120,12.1832,EObs
,0,0,0,144,21.8664,EObs
,0,0,0,0,89.879,EObs
,0,0,0,24,32.2642,EObs
,0,0,0,36,28.4895,EObs
,0,0,0,48,20.5756,EObs
,0,0,0,0,100.91,EObs
,0,0,0,24,40.378,EObs
,0,0,0,36,36.633,EObs
,0,0,0,48,27.0144,EObs
,0,0,0,72,20.7655,EObs
,0,0,0,96,27.2697,EObs
,0,0,0,120,28.0732,EObs
,0,0,0,144,36.3926,EObs
,0,0,0,0,88.483,EObs
,0,0,0,24,35.0327,EObs
,0,0,0,36,25.5064,EObs
,0,0,0,48,12.9926,EObs
,0,0,0,72,22.9536,EObs
,0,0,0,96,25.9963,EObs
,0,0,0,120,25.5456,EObs
,0,0,0,144,31.938,EObs
,0,0,0,0,89.148,EObs
,0,0,0,24,42.1439,EObs
,0,0,0,36,29.6207,EObs
,0,0,0,48,22.1505,EObs
,0,0,0,72,19.4438,EObs
,0,0,0,96,23.7535,EObs
,0,0,0,120,36.257,EObs
,0,0,0,144,43.0704,EObs
,0,0,0,0,86.846,EObs
,0,0,0,24,33.9192,EObs
,0,0,0,36,23.3862,EObs
,0,0,0,48,20.4558,EObs
,0,0,0,72,20.1929,EObs
,0,0,0,96,25.6736,EObs
,0,0,0,120,35.6149,EObs
,0,0,0,0,100.86,EObs
,0,0,0,24,37.0967,EObs
,0,0,0,36,24.1257,EObs
,0,0,0,48,11.3667,EObs
,0,0,0,72,16.6317,EObs
,0,0,0,96,18.6101,EObs
,0,0,0,120,15.247,EObs
,0,0,0,0,96.569,EObs
,0,0,0,24,26.5085,EObs
,0,0,0,36,24.5205,EObs
,0,0,0,48,13.0254,EObs
,0,0,0,72,21.6292,EObs
,0,0,0,96,29.6455,EObs
,0,0,0,120,42.7707,EObs
,0,0,0,0,92.625,EObs
,0,0,0,24,38.4159,EObs
,0,0,0,36,31.8691,EObs
,0,0,0,48,24.0963,EObs
,0,0,0,72,21.1896,EObs
,0,0,0,96,20.5134,EObs
,0,0,0,120,23.0239,EObs
,0,0,0,0,88.494,EObs
,0,0,0,24,33.0132,EObs
,0,0,0,36,21.3509,EObs
,0,0,0,48,22.9068,EObs
,0,0,0,72,27.2307,EObs
,0,0,0,96,39.2004,EObs
,0,0,0,120,52.5837,EObs
,0,0,0,0,96.596,EObs
,0,0,0,24,48.969,EObs
,0,0,0,36,24.5795,EObs
,0,0,0,48,21.9282,EObs
,0,0,0,72,18.4368,EObs
,0,0,0,96,24.7019,EObs
,0,0,0,120,30.3128,EObs
,0,0,0,0,96.497,EObs
,0,0,0,24,30.1256,EObs
,0,0,0,36,19.2491,EObs
,0,0,0,48,10.293,EObs
,0,0,0,72,7.30014,EObs
,0,0,0,96,5.45757,EObs
,0,0,0,120,9.24829,EObs
,0,0,0,0,93.066,EObs
,0,0,0,24,42.0251,EObs
,0,0,0,36,30.1257,EObs
,0,0,0,48,18.9911,EObs
,0,0,0,72,10.5693,EObs
,0,0,0,96,25.921,EObs
,0,0,0,120,21.3958,EObs
,0,0,0,0,88.021,EObs
,0,0,0,24,30.7706,EObs
,0,0,0,36,9.09056,EObs
,0,0,0,48,17.6911,EObs
,0,0,0,72,13.4857,EObs
,0,0,0,96,17.9623,EObs
,0,0,0,120,19.0498,EObs
,0,0,0,0,99.997,EObs
,0,0,0,24,29.8913,EObs
,0,0,0,36,16.2783,EObs
,0,0,0,48,11.4075,EObs
,0,0,0,72,19.4789,EObs
,0,0,0,96,19.2147,EObs
,0,0,0,120,22.3675,EObs
,0,0,0,0,99.465,EObs
,0,0,0,24,40.2646,EObs
,0,0,0,36,42.5494,EObs
,0,0,0,48,34.9593,EObs
,0,0,0,72,42.5386,EObs
,0,0,0,96,59.3206,EObs
,0,0,0,120,72.6826,EObs
,0,0,0,0,103.98,EObs
,0,0,0,24,36.375,EObs
,0,0,0,36,24.6517,EObs
,0,0,0,48,21.0694,EObs
,0,0,0,72,18.3217,EObs
,0,0,0,96,19.4268,EObs
,0,0,0,120,35.4772,EObs
,0,0,0,0,92.94,EObs
,0,0,0,24,33.7306,EObs
,0,0,0,36,18.4625,EObs
,0,0,0,48,11.4517,EObs
,0,0,0,72,10.3903,EObs
,0,0,0,96,15.5045,EObs
,0,0,0,120,17.6349,EObs
,0,0,0,0,95.305,EObs
,0,0,0,24,37.8542,EObs
,0,0,0,36,24.1388,EObs
,0,0,0,48,23.732,EObs
,0,0,0,72,14.6975,EObs
,0,0,0,96,16.1734,EObs
,0,0,0,120,24.6172,EObs
,0,0,0,0,97.752,EObs
,0,0,0,24,37.6859,EObs
,0,0,0,36,26.603,EObs
,0,0,0,48,16.9962,EObs
,0,0,0,72,28.469,EObs
,0,0,0,96,30.635,EObs
,0,0,0,120,37.688,EObs
,0,0,0,0,98.957,EObs
,0,0,0,24,38.0542,EObs
,0,0,0,36,29.453,EObs
,0,0,0,48,12.5994,EObs
,0,0,0,72,10.0788,EObs
,0,0,0,96,12.2539,EObs
,0,0,0,120,30.0396,EObs
,0,0,0,0,102.92,EObs
,0,0,0,24,46.774,EObs
,0,0,0,36,37.7145,EObs
,0,0,0,48,23.8848,EObs
,0,0,0,72,24.3291,EObs
,0,0,0,96,22.0174,EObs
,0,0,0,120,22.9906,EObs
,0,0,0,1,0.867833,CObs
,0,0,0,2,6.75436,CObs
,0,0,0,3,9.69505,CObs
,0,0,0,6,11.4281,CObs
